[(-15761, 1916, -3412), (-120, 326, -15)]
[(-15766, 1927, -3405), (-166, 325, -36)]
[(-15766, 1927, -3405), (-166, 325, -36)]
[(-15766, 1927, -3405), (-166, 325, -36)]
[(-15766, 1927, -3405), (-166, 325, -36)]
[(-15768, 1927, -3385), (-157, 315, -35)]
[(-15768, 1927, -3385), (-157, 315, -35)]
[(-15768, 1927, -3385), (-157, 315, -35)]
[(-15768, 1927, -3385), (-157, 315, -35)]
[(-15768, 1927, -3385), (-157, 315, -35)]
[(-15772, 1904, -3374), (-73, 319, -38)]
[(-15772, 1904, -3374), (-73, 319, -38)]
[(-15772, 1904, -3374), (-73, 319, -38)]
[(-15772, 1904, -3374), (-73, 319, -38)]
[(-15772, 1904, -3374), (-73, 319, -38)]
[(-15772, 1904, -3374), (-73, 319, -38)]
[(-15771, 1898, -3357), (-44, 328, -58)]
[(-15771, 1898, -3357), (-44, 328, -58)]
[(-15771, 1898, -3357), (-44, 328, -58)]
[(-15771, 1898, -3357), (-44, 328, -58)]
[(-15771, 1898, -3357), (-44, 328, -58)]
[(-15771, 1898, -3357), (-44, 328, -58)]
[(-15771, 1898, -3357), (-44, 328, -58)]
[(-15779, 1897, -3352), (-92, 338, -54)]
[(-15779, 1897, -3352), (-92, 338, -54)]
[(-15779, 1897, -3352), (-92, 338, -54)]
[(-15779, 1897, -3352), (-92, 338, -54)]
[(-15779, 1897, -3352), (-92, 338, -54)]
[(-15768, 1893, -3345), (-84, 342, -35)]
[(-15768, 1893, -3345), (-84, 342, -35)]
[(-15768, 1893, -3345), (-84, 342, -35)]
[(-15768, 1893, -3345), (-84, 342, -35)]
[(-15768, 1893, -3345), (-84, 342, -35)]
[(-15768, 1893, -3345), (-84, 342, -35)]
[(-15768, 1893, -3345), (-84, 342, -35)]
[(-15767, 1892, -3360), (-109, 356, -26)]
[(-15767, 1892, -3360), (-109, 356, -26)]
[(-15767, 1892, -3360), (-109, 356, -26)]
[(-15767, 1892, -3360), (-109, 356, -26)]
[(-15767, 1892, -3360), (-109, 356, -26)]
[(-15767, 1892, -3360), (-109, 356, -26)]
[(-15784, 1878, -3376), (-92, 352, -28)]
[(-15784, 1878, -3376), (-92, 352, -28)]
[(-15784, 1878, -3376), (-92, 352, -28)]
[(-15784, 1878, -3376), (-92, 352, -28)]
[(-15784, 1878, -3376), (-92, 352, -28)]
[(-15777, 1863, -3400), (-139, 372, -45)]
[(-15777, 1863, -3400), (-139, 372, -45)]
[(-15777, 1863, -3400), (-139, 372, -45)]
[(-15777, 1863, -3400), (-139, 372, -45)]
[(-15777, 1863, -3400), (-139, 372, -45)]
[(-15756, 1855, -3388), (-197, 382, -17)]
[(-15756, 1855, -3388), (-197, 382, -17)]
[(-15756, 1855, -3388), (-197, 382, -17)]
[(-15756, 1855, -3388), (-197, 382, -17)]
[(-15756, 1855, -3388), (-197, 382, -17)]
[(-15756, 1855, -3388), (-197, 382, -17)]
[(-15756, 1855, -3388), (-197, 382, -17)]
[(-15756, 1855, -3388), (-197, 382, -17)]
[(-15772, 1848, -3420), (-231, 428, -33)]
[(-15772, 1848, -3420), (-231, 428, -33)]
[(-15772, 1848, -3420), (-231, 428, -33)]
[(-15772, 1848, -3420), (-231, 428, -33)]
[(-15772, 1848, -3420), (-231, 428, -33)]
[(-15784, 1846, -3415), (-225, 403, -39)]
[(-15784, 1846, -3415), (-225, 403, -39)]
[(-15784, 1846, -3415), (-225, 403, -39)]
[(-15784, 1846, -3415), (-225, 403, -39)]
[(-15784, 1846, -3415), (-225, 403, -39)]
[(-15784, 1846, -3415), (-225, 403, -39)]
[(-15784, 1846, -3415), (-225, 403, -39)]
[(-15758, 1872, -3418), (-159, 362, 0)]
[(-15758, 1872, -3418), (-159, 362, 0)]
[(-15758, 1872, -3418), (-159, 362, 0)]
[(-15758, 1872, -3418), (-159, 362, 0)]
