[(-14279, 4534, -6688), (-257, 609, 391)]
[(-14245, 4628, -6714), (-197, 529, 270)]
[(-14245, 4628, -6714), (-197, 529, 270)]
[(-14245, 4628, -6714), (-197, 529, 270)]
[(-14245, 4628, -6714), (-197, 529, 270)]
[(-14216, 4722, -6806), (-201, 508, 251)]
[(-14216, 4722, -6806), (-201, 508, 251)]
[(-14216, 4722, -6806), (-201, 508, 251)]
[(-14216, 4722, -6806), (-201, 508, 251)]
[(-14216, 4722, -6806), (-201, 508, 251)]
[(-14195, 4795, -6844), (-293, 471, 195)]
[(-14195, 4795, -6844), (-293, 471, 195)]
[(-14195, 4795, -6844), (-293, 471, 195)]
[(-14195, 4795, -6844), (-293, 471, 195)]
[(-14195, 4795, -6844), (-293, 471, 195)]
[(-14195, 4795, -6844), (-293, 471, 195)]
[(-14195, 4795, -6844), (-293, 471, 195)]
[(-14195, 4795, -6844), (-293, 471, 195)]
[(-14195, 4795, -6844), (-293, 471, 195)]
[(-14189, 4856, -6877), (-348, 388, 68)]
[(-14189, 4856, -6877), (-348, 388, 68)]
[(-14189, 4856, -6877), (-348, 388, 68)]
[(-14189, 4856, -6877), (-348, 388, 68)]
[(-14159, 4877, -6858), (-195, 380, 60)]
[(-14159, 4877, -6858), (-195, 380, 60)]
[(-14159, 4877, -6858), (-195, 380, 60)]
[(-14159, 4877, -6858), (-195, 380, 60)]
[(-14159, 4877, -6858), (-195, 380, 60)]
[(-13932, 4995, -7227), (479, 462, 317)]
[(-13932, 4995, -7227), (479, 462, 317)]
[(-13932, 4995, -7227), (479, 462, 317)]
[(-13932, 4995, -7227), (479, 462, 317)]
[(-13932, 4995, -7227), (479, 462, 317)]
[(-13932, 4995, -7227), (479, 462, 317)]
[(-13932, 4995, -7227), (479, 462, 317)]
[(-13900, 4984, -7173), (258, 329, 189)]
[(-13900, 4984, -7173), (258, 329, 189)]
[(-13900, 4984, -7173), (258, 329, 189)]
[(-13900, 4984, -7173), (258, 329, 189)]
[(-13900, 4984, -7173), (258, 329, 189)]
[(-13900, 4984, -7173), (258, 329, 189)]
[(-13900, 4984, -7173), (258, 329, 189)]
[(-13953, 4963, -7088), (116, 327, 187)]
[(-13953, 4963, -7088), (116, 327, 187)]
[(-13953, 4963, -7088), (116, 327, 187)]
[(-13953, 4963, -7088), (116, 327, 187)]
[(-14004, 4957, -7037), (-188, 313, 127)]
[(-14004, 4957, -7037), (-188, 313, 127)]
[(-14004, 4957, -7037), (-188, 313, 127)]
[(-14004, 4957, -7037), (-188, 313, 127)]
[(-14004, 4957, -7037), (-188, 313, 127)]
[(-14004, 4957, -7037), (-188, 313, 127)]
[(-14004, 4957, -7037), (-188, 313, 127)]
[(-14004, 4957, -7037), (-188, 313, 127)]
[(-14004, 4957, -7037), (-188, 313, 127)]
[(-14029, 4992, -6949), (-331, 344, 6)]
[(-14029, 4992, -6949), (-331, 344, 6)]
[(-14029, 4992, -6949), (-331, 344, 6)]
[(-14029, 4992, -6949), (-331, 344, 6)]
[(-14062, 4975, -6920), (-69, 433, -40)]
[(-14062, 4975, -6920), (-69, 433, -40)]
[(-14062, 4975, -6920), (-69, 433, -40)]
[(-14062, 4975, -6920), (-69, 433, -40)]
[(-14062, 4975, -6920), (-69, 433, -40)]
[(-14062, 4975, -6920), (-69, 433, -40)]
[(-14109, 4927, -6890), (89, 354, -56)]
[(-14109, 4927, -6890), (89, 354, -56)]
[(-14109, 4927, -6890), (89, 354, -56)]
[(-14109, 4927, -6890), (89, 354, -56)]
[(-14106, 4905, -6884), (59, 383, -116)]
[(-14106, 4905, -6884), (59, 383, -116)]
[(-14106, 4905, -6884), (59, 383, -116)]
[(-14106, 4905, -6884), (59, 383, -116)]
[(-14106, 4905, -6884), (59, 383, -116)]
[(-14106, 4905, -6884), (59, 383, -116)]
[(-14106, 4905, -6884), (59, 383, -116)]
[(-14106, 4905, -6884), (59, 383, -116)]
[(-14132, 4859, -6848), (78, 348, -109)]
[(-14132, 4859, -6848), (78, 348, -109)]
[(-14132, 4859, -6848), (78, 348, -109)]
[(-14132, 4859, -6848), (78, 348, -109)]
[(-14132, 4859, -6848), (78, 348, -109)]
[(-14167, 4774, -6858), (68, 327, -81)]
[(-14167, 4774, -6858), (68, 327, -81)]
[(-14167, 4774, -6858), (68, 327, -81)]
[(-14167, 4774, -6858), (68, 327, -81)]
[(-14167, 4774, -6858), (68, 327, -81)]
[(-14212, 4754, -6831), (32, 379, -82)]
[(-14212, 4754, -6831), (32, 379, -82)]
[(-14212, 4754, -6831), (32, 379, -82)]
[(-14212, 4754, -6831), (32, 379, -82)]
[(-14212, 4754, -6831), (32, 379, -82)]
[(-14212, 4754, -6831), (32, 379, -82)]
[(-14212, 4754, -6831), (32, 379, -82)]
