[(-14141, 7084, -3970), (-121, 207, -14)]
[(-14142, 7088, -3964), (-150, 190, 20)]
[(-14142, 7088, -3964), (-150, 190, 20)]
[(-14142, 7088, -3964), (-150, 190, 20)]
[(-14142, 7088, -3964), (-150, 190, 20)]
[(-14111, 7080, -3985), (-140, 157, 13)]
[(-14111, 7080, -3985), (-140, 157, 13)]
[(-14111, 7080, -3985), (-140, 157, 13)]
[(-14111, 7080, -3985), (-140, 157, 13)]
[(-14111, 7080, -3985), (-140, 157, 13)]
[(-14111, 7080, -3985), (-140, 157, 13)]
[(-14111, 7080, -3985), (-140, 157, 13)]
[(-14111, 7080, -3985), (-140, 157, 13)]
[(-14112, 7048, -3955), (-139, 184, 8)]
[(-14112, 7048, -3955), (-139, 184, 8)]
[(-14112, 7048, -3955), (-139, 184, 8)]
[(-14112, 7048, -3955), (-139, 184, 8)]
[(-14112, 7048, -3955), (-139, 184, 8)]
[(-14151, 7053, -3928), (-167, 245, -4)]
[(-14151, 7053, -3928), (-167, 245, -4)]
[(-14151, 7053, -3928), (-167, 245, -4)]
[(-14151, 7053, -3928), (-167, 245, -4)]
[(-14151, 7053, -3928), (-167, 245, -4)]
[(-14151, 7053, -3928), (-167, 245, -4)]
[(-14151, 7041, -3928), (-207, 310, 7)]
[(-14151, 7041, -3928), (-207, 310, 7)]
[(-14151, 7041, -3928), (-207, 310, 7)]
[(-14151, 7041, -3928), (-207, 310, 7)]
[(-14151, 7041, -3928), (-207, 310, 7)]
[(-14148, 7036, -3928), (-175, 273, 29)]
[(-14148, 7036, -3928), (-175, 273, 29)]
[(-14148, 7036, -3928), (-175, 273, 29)]
[(-14148, 7036, -3928), (-175, 273, 29)]
[(-14148, 7036, -3928), (-175, 273, 29)]
[(-14148, 7036, -3928), (-175, 273, 29)]
[(-14148, 7036, -3928), (-175, 273, 29)]
[(-14156, 7032, -3935), (-142, 220, 27)]
[(-14156, 7032, -3935), (-142, 220, 27)]
[(-14156, 7032, -3935), (-142, 220, 27)]
[(-14156, 7032, -3935), (-142, 220, 27)]
[(-14156, 7032, -3935), (-142, 220, 27)]
[(-14156, 7032, -3935), (-142, 220, 27)]
[(-14114, 7052, -3924), (-160, 203, 51)]
[(-14114, 7052, -3924), (-160, 203, 51)]
[(-14114, 7052, -3924), (-160, 203, 51)]
[(-14114, 7052, -3924), (-160, 203, 51)]
[(-14114, 7052, -3924), (-160, 203, 51)]
[(-14108, 7056, -3916), (-165, 236, 53)]
[(-14108, 7056, -3916), (-165, 236, 53)]
[(-14108, 7056, -3916), (-165, 236, 53)]
[(-14108, 7056, -3916), (-165, 236, 53)]
[(-14108, 7056, -3916), (-165, 236, 53)]
[(-14108, 7056, -3916), (-165, 236, 53)]
[(-14108, 7056, -3916), (-165, 236, 53)]
[(-14102, 7047, -3918), (-166, 263, 62)]
[(-14102, 7047, -3918), (-166, 263, 62)]
[(-14102, 7047, -3918), (-166, 263, 62)]
[(-14102, 7047, -3918), (-166, 263, 62)]
[(-14102, 7047, -3918), (-166, 263, 62)]
[(-14102, 7047, -3918), (-166, 263, 62)]
[(-14099, 7083, -3920), (-154, 250, 59)]
[(-14099, 7083, -3920), (-154, 250, 59)]
[(-14099, 7083, -3920), (-154, 250, 59)]
[(-14099, 7083, -3920), (-154, 250, 59)]
[(-14099, 7083, -3920), (-154, 250, 59)]
[(-14099, 7083, -3920), (-154, 250, 59)]
[(-14099, 7083, -3920), (-154, 250, 59)]
[(-14119, 7093, -3917), (-131, 214, 27)]
[(-14119, 7093, -3917), (-131, 214, 27)]
[(-14119, 7093, -3917), (-131, 214, 27)]
[(-14119, 7093, -3917), (-131, 214, 27)]
[(-14119, 7093, -3917), (-131, 214, 27)]
[(-14139, 7072, -3900), (-121, 196, 19)]
[(-14139, 7072, -3900), (-121, 196, 19)]
[(-14139, 7072, -3900), (-121, 196, 19)]
[(-14139, 7072, -3900), (-121, 196, 19)]
[(-14139, 7072, -3900), (-121, 196, 19)]
[(-14139, 7072, -3900), (-121, 196, 19)]
[(-14139, 7072, -3900), (-121, 196, 19)]
[(-14139, 7072, -3900), (-121, 196, 19)]
[(-14139, 7039, -3938), (-153, 224, 10)]
[(-14139, 7039, -3938), (-153, 224, 10)]
[(-14139, 7039, -3938), (-153, 224, 10)]
[(-14153, 7056, -3901), (-170, 229, 11)]
[(-14153, 7056, -3901), (-170, 229, 11)]
[(-14153, 7056, -3901), (-170, 229, 11)]
