[(-14040, 7396, -3840), (-117, 248, 27)]
[(-14012, 7391, -3828), (-107, 242, 21)]
[(-14012, 7391, -3828), (-107, 242, 21)]
[(-14012, 7391, -3828), (-107, 242, 21)]
[(-14012, 7391, -3828), (-107, 242, 21)]
[(-14012, 7391, -3828), (-107, 242, 21)]
[(-14012, 7391, -3828), (-107, 242, 21)]
[(-14012, 7391, -3828), (-107, 242, 21)]
[(-14013, 7398, -3843), (-104, 269, 49)]
[(-14013, 7398, -3843), (-104, 269, 49)]
[(-14013, 7398, -3843), (-104, 269, 49)]
[(-14013, 7398, -3843), (-104, 269, 49)]
[(-14013, 7398, -3843), (-104, 269, 49)]
[(-13998, 7387, -3840), (-123, 302, 42)]
[(-13998, 7387, -3840), (-123, 302, 42)]
[(-13998, 7387, -3840), (-123, 302, 42)]
[(-13998, 7387, -3840), (-123, 302, 42)]
[(-13998, 7387, -3840), (-123, 302, 42)]
[(-13998, 7387, -3840), (-123, 302, 42)]
[(-13997, 7392, -3846), (-142, 319, -3)]
[(-13997, 7392, -3846), (-142, 319, -3)]
[(-13997, 7392, -3846), (-142, 319, -3)]
[(-13997, 7392, -3846), (-142, 319, -3)]
[(-13997, 7392, -3846), (-142, 319, -3)]
[(-14004, 7380, -3840), (-116, 268, -14)]
[(-14004, 7380, -3840), (-116, 268, -14)]
[(-14004, 7380, -3840), (-116, 268, -14)]
[(-14004, 7380, -3840), (-116, 268, -14)]
[(-14004, 7380, -3840), (-116, 268, -14)]
[(-14004, 7380, -3840), (-116, 268, -14)]
[(-14004, 7380, -3840), (-116, 268, -14)]
[(-14008, 7387, -3796), (-151, 250, 1)]
[(-14008, 7387, -3796), (-151, 250, 1)]
[(-14008, 7387, -3796), (-151, 250, 1)]
[(-14008, 7387, -3796), (-151, 250, 1)]
[(-14008, 7387, -3796), (-151, 250, 1)]
[(-14008, 7387, -3796), (-151, 250, 1)]
[(-14001, 7382, -3788), (-146, 240, 12)]
[(-14001, 7382, -3788), (-146, 240, 12)]
[(-14001, 7382, -3788), (-146, 240, 12)]
[(-14001, 7382, -3788), (-146, 240, 12)]
[(-14001, 7382, -3788), (-146, 240, 12)]
[(-13999, 7377, -3796), (-123, 277, -6)]
[(-13999, 7377, -3796), (-123, 277, -6)]
[(-13999, 7377, -3796), (-123, 277, -6)]
[(-13999, 7377, -3796), (-123, 277, -6)]
[(-13999, 7377, -3796), (-123, 277, -6)]
[(-13999, 7377, -3796), (-123, 277, -6)]
[(-13999, 7377, -3796), (-123, 277, -6)]
[(-14000, 7392, -3829), (-105, 284, -21)]
[(-14000, 7392, -3829), (-105, 284, -21)]
[(-14000, 7392, -3829), (-105, 284, -21)]
[(-14000, 7392, -3829), (-105, 284, -21)]
[(-14000, 7392, -3829), (-105, 284, -21)]
[(-14000, 7392, -3829), (-105, 284, -21)]
[(-14008, 7379, -3816), (-122, 257, -7)]
[(-14008, 7379, -3816), (-122, 257, -7)]
[(-14008, 7379, -3816), (-122, 257, -7)]
[(-14008, 7379, -3816), (-122, 257, -7)]
[(-14008, 7379, -3816), (-122, 257, -7)]
[(-14011, 7336, -3863), (-131, 257, -2)]
[(-14011, 7336, -3863), (-131, 257, -2)]
[(-14011, 7336, -3863), (-131, 257, -2)]
[(-14011, 7336, -3863), (-131, 257, -2)]
[(-14011, 7336, -3863), (-131, 257, -2)]
[(-14011, 7336, -3863), (-131, 257, -2)]
[(-14011, 7336, -3863), (-131, 257, -2)]
[(-14023, 7293, -3880), (-125, 214, 23)]
[(-14023, 7293, -3880), (-125, 214, 23)]
[(-14023, 7293, -3880), (-125, 214, 23)]
