[(-14048, 7116, -4076), (-106, 204, 47)]
[(-14048, 7116, -4076), (-106, 204, 47)]
[(-14048, 7116, -4076), (-106, 204, 47)]
[(-14048, 7116, -4076), (-106, 204, 47)]
[(-14048, 7116, -4076), (-106, 204, 47)]
[(-14071, 7129, -4077), (-114, 203, 38)]
[(-14071, 7129, -4077), (-114, 203, 38)]
[(-14071, 7129, -4077), (-114, 203, 38)]
[(-14071, 7129, -4077), (-114, 203, 38)]
[(-14071, 7129, -4077), (-114, 203, 38)]
[(-14071, 7129, -4077), (-114, 203, 38)]
[(-14071, 7129, -4077), (-114, 203, 38)]
[(-14071, 7129, -4077), (-114, 203, 38)]
[(-14056, 7120, -4088), (-95, 174, 6)]
[(-14056, 7120, -4088), (-95, 174, 6)]
[(-14056, 7120, -4088), (-95, 174, 6)]
[(-14056, 7120, -4088), (-95, 174, 6)]
[(-14056, 7120, -4088), (-95, 174, 6)]
[(-14080, 7120, -4089), (-61, 145, -25)]
[(-14080, 7120, -4089), (-61, 145, -25)]
