[(-13392, -1648, -10167), (-4, 433, 56)]
[(-13351, -1639, -10172), (-5, 355, 61)]
[(-13351, -1639, -10172), (-5, 355, 61)]
[(-13351, -1639, -10172), (-5, 355, 61)]
[(-13351, -1639, -10172), (-5, 355, 61)]
[(-13351, -1639, -10172), (-5, 355, 61)]
[(-13351, -1639, -10172), (-5, 355, 61)]
[(-13351, -1639, -10172), (-5, 355, 61)]
[(-13342, -1618, -10172), (-77, 310, 47)]
[(-13342, -1618, -10172), (-77, 310, 47)]
[(-13342, -1618, -10172), (-77, 310, 47)]
[(-13342, -1618, -10172), (-77, 310, 47)]
[(-13342, -1618, -10172), (-77, 310, 47)]
[(-13344, -1611, -10149), (-77, 283, 24)]
[(-13344, -1611, -10149), (-77, 283, 24)]
[(-13344, -1611, -10149), (-77, 283, 24)]
[(-13344, -1611, -10149), (-77, 283, 24)]
[(-13344, -1611, -10149), (-77, 283, 24)]
[(-13344, -1611, -10149), (-77, 283, 24)]
[(-13344, -1611, -10149), (-77, 283, 24)]
[(-13384, -1588, -10089), (-110, 285, -9)]
[(-13384, -1588, -10089), (-110, 285, -9)]
[(-13384, -1588, -10089), (-110, 285, -9)]
[(-13384, -1588, -10089), (-110, 285, -9)]
[(-13384, -1588, -10089), (-110, 285, -9)]
[(-13383, -1596, -10083), (-104, 301, -17)]
[(-13383, -1596, -10083), (-104, 301, -17)]
[(-13383, -1596, -10083), (-104, 301, -17)]
[(-13383, -1596, -10083), (-104, 301, -17)]
[(-13383, -1596, -10083), (-104, 301, -17)]
[(-13379, -1613, -10098), (-111, 367, -31)]
[(-13379, -1613, -10098), (-111, 367, -31)]
[(-13379, -1613, -10098), (-111, 367, -31)]
[(-13379, -1613, -10098), (-111, 367, -31)]
[(-13379, -1613, -10098), (-111, 367, -31)]
[(-13379, -1613, -10098), (-111, 367, -31)]
[(-13385, -1638, -10073), (-79, 418, -40)]
[(-13385, -1638, -10073), (-79, 418, -40)]
[(-13385, -1638, -10073), (-79, 418, -40)]
[(-13385, -1638, -10073), (-79, 418, -40)]
[(-13385, -1638, -10073), (-79, 418, -40)]
[(-13385, -1638, -10073), (-79, 418, -40)]
