[(-13452, -1698, -10104), (-150, 272, -25)]
[(-13452, -1698, -10104), (-150, 272, -25)]
[(-13452, -1698, -10104), (-150, 272, -25)]
[(-13452, -1698, -10104), (-150, 272, -25)]
[(-13452, -1698, -10104), (-150, 272, -25)]
[(-13452, -1698, -10104), (-150, 272, -25)]
[(-13452, -1698, -10104), (-150, 272, -25)]
[(-13452, -1698, -10104), (-150, 272, -25)]
[(-13452, -1698, -10104), (-150, 272, -25)]
[(-13412, -1713, -10105), (-61, 355, -15)]
[(-13387, -1716, -10139), (-3, 377, 3)]
[(-13387, -1716, -10139), (-3, 377, 3)]
[(-13387, -1716, -10139), (-3, 377, 3)]
[(-13387, -1716, -10139), (-3, 377, 3)]
[(-13387, -1716, -10139), (-3, 377, 3)]
[(-13387, -1716, -10139), (-3, 377, 3)]
[(-13387, -1716, -10139), (-3, 377, 3)]
[(-13384, -1671, -10194), (-51, 310, 0)]
[(-13384, -1671, -10194), (-51, 310, 0)]
[(-13415, -1677, -10164), (-117, 248, -3)]
[(-13415, -1677, -10164), (-117, 248, -3)]
[(-13415, -1677, -10164), (-117, 248, -3)]
[(-13415, -1677, -10164), (-117, 248, -3)]
[(-13415, -1677, -10164), (-117, 248, -3)]
[(-13415, -1677, -10164), (-117, 248, -3)]
[(-13415, -1677, -10164), (-117, 248, -3)]
[(-13421, -1641, -10130), (-117, 261, -33)]
[(-13421, -1641, -10130), (-117, 261, -33)]
[(-13421, -1641, -10130), (-117, 261, -33)]
[(-13421, -1641, -10130), (-117, 261, -33)]
[(-13421, -1641, -10130), (-117, 261, -33)]
[(-13444, -1633, -10090), (-103, 281, -17)]
[(-13444, -1633, -10090), (-103, 281, -17)]
[(-13444, -1633, -10090), (-103, 281, -17)]
[(-13444, -1633, -10090), (-103, 281, -17)]
[(-13444, -1633, -10090), (-103, 281, -17)]
[(-13444, -1633, -10090), (-103, 281, -17)]
[(-13444, -1633, -10090), (-103, 281, -17)]
[(-13419, -1631, -10097), (-65, 369, 15)]
[(-13419, -1631, -10097), (-65, 369, 15)]
[(-13419, -1631, -10097), (-65, 369, 15)]
[(-13419, -1631, -10097), (-65, 369, 15)]
[(-13410, -1632, -10135), (-7, 411, 6)]
[(-13410, -1632, -10135), (-7, 411, 6)]
[(-13410, -1632, -10135), (-7, 411, 6)]
[(-13410, -1632, -10135), (-7, 411, 6)]
[(-13410, -1632, -10135), (-7, 411, 6)]
[(-13410, -1632, -10135), (-7, 411, 6)]
[(-13410, -1632, -10135), (-7, 411, 6)]
[(-13393, -1618, -10147), (-44, 387, -21)]
[(-13393, -1618, -10147), (-44, 387, -21)]
