[(-13371, -1365, -10097), (-26, 387, -8)]
[(-13371, -1365, -10097), (-26, 387, -8)]
[(-13371, -1365, -10097), (-26, 387, -8)]
[(-13371, -1365, -10097), (-26, 387, -8)]
[(-13371, -1365, -10097), (-26, 387, -8)]
[(-13403, -1390, -10128), (53, 397, 23)]
[(-13403, -1390, -10128), (53, 397, 23)]
[(-13403, -1390, -10128), (53, 397, 23)]
[(-13403, -1390, -10128), (53, 397, 23)]
[(-13403, -1390, -10128), (53, 397, 23)]
[(-13403, -1390, -10128), (53, 397, 23)]
[(-13403, -1390, -10128), (53, 397, 23)]
[(-13406, -1364, -10163), (-31, 341, 28)]
[(-13406, -1364, -10163), (-31, 341, 28)]
[(-13406, -1364, -10163), (-31, 341, 28)]
[(-13406, -1364, -10163), (-31, 341, 28)]
[(-13406, -1364, -10163), (-31, 341, 28)]
[(-13406, -1364, -10163), (-31, 341, 28)]
[(-13416, -1359, -10145), (-48, 303, 11)]
[(-13416, -1359, -10145), (-48, 303, 11)]
[(-13416, -1359, -10145), (-48, 303, 11)]
[(-13416, -1359, -10145), (-48, 303, 11)]
[(-13416, -1359, -10145), (-48, 303, 11)]
[(-13440, -1351, -10129), (-57, 289, -34)]
[(-13440, -1351, -10129), (-57, 289, -34)]
[(-13440, -1351, -10129), (-57, 289, -34)]
[(-13440, -1351, -10129), (-57, 289, -34)]
[(-13440, -1351, -10129), (-57, 289, -34)]
[(-13440, -1351, -10129), (-57, 289, -34)]
[(-13469, -1361, -10084), (-76, 310, -27)]
[(-13469, -1361, -10084), (-76, 310, -27)]
[(-13469, -1361, -10084), (-76, 310, -27)]
[(-13469, -1361, -10084), (-76, 310, -27)]
[(-13469, -1361, -10084), (-76, 310, -27)]
[(-13469, -1361, -10084), (-76, 310, -27)]
[(-13469, -1361, -10084), (-76, 310, -27)]
[(-13462, -1332, -10091), (-109, 353, -25)]
[(-13462, -1332, -10091), (-109, 353, -25)]
[(-13462, -1332, -10091), (-109, 353, -25)]
[(-13462, -1332, -10091), (-109, 353, -25)]
[(-13462, -1332, -10091), (-109, 353, -25)]
[(-13457, -1350, -10083), (-54, 392, -40)]
[(-13457, -1350, -10083), (-54, 392, -40)]
[(-13457, -1350, -10083), (-54, 392, -40)]
[(-13457, -1350, -10083), (-54, 392, -40)]
[(-13457, -1350, -10083), (-54, 392, -40)]
[(-13459, -1347, -10107), (-76, 422, -48)]
[(-13459, -1347, -10107), (-76, 422, -48)]
[(-13459, -1347, -10107), (-76, 422, -48)]
[(-13459, -1347, -10107), (-76, 422, -48)]
[(-13459, -1347, -10107), (-76, 422, -48)]
[(-13459, -1347, -10107), (-76, 422, -48)]
[(-13459, -1347, -10107), (-76, 422, -48)]
[(-13459, -1347, -10107), (-76, 422, -48)]
[(-13412, -1393, -10092), (-56, 457, -46)]
[(-13412, -1393, -10092), (-56, 457, -46)]
[(-13412, -1393, -10092), (-56, 457, -46)]
[(-13412, -1393, -10092), (-56, 457, -46)]
