[(-15106, 3268, -5560), (-41, 419, 46)]
[(-15132, 3281, -5609), (-63, 418, -8)]
[(-15132, 3281, -5609), (-63, 418, -8)]
[(-15132, 3281, -5609), (-63, 418, -8)]
[(-15124, 3271, -5593), (-78, 389, 11)]
[(-15124, 3271, -5593), (-78, 389, 11)]
[(-15124, 3271, -5593), (-78, 389, 11)]
[(-15124, 3271, -5593), (-78, 389, 11)]
[(-15174, 3260, -5606), (-63, 377, -9)]
[(-15174, 3260, -5606), (-63, 377, -9)]
[(-15174, 3260, -5606), (-63, 377, -9)]
[(-15174, 3260, -5606), (-63, 377, -9)]
[(-15174, 3260, -5606), (-63, 377, -9)]
[(-15174, 3260, -5606), (-63, 377, -9)]
[(-15174, 3260, -5606), (-63, 377, -9)]
[(-15174, 3260, -5606), (-63, 377, -9)]
[(-15174, 3260, -5606), (-63, 377, -9)]
[(-15167, 3272, -5627), (-92, 354, -10)]
[(-15167, 3272, -5627), (-92, 354, -10)]
[(-15167, 3272, -5627), (-92, 354, -10)]
[(-15167, 3272, -5627), (-92, 354, -10)]
[(-15196, 3288, -5568), (-92, 327, -24)]
[(-15196, 3288, -5568), (-92, 327, -24)]
[(-15196, 3288, -5568), (-92, 327, -24)]
[(-15196, 3288, -5568), (-92, 327, -24)]
[(-15196, 3288, -5568), (-92, 327, -24)]
[(-15178, 3271, -5553), (-148, 343, -22)]
[(-15178, 3271, -5553), (-148, 343, -22)]
[(-15178, 3271, -5553), (-148, 343, -22)]
[(-15178, 3271, -5553), (-148, 343, -22)]
[(-15178, 3271, -5553), (-148, 343, -22)]
[(-15178, 3271, -5553), (-148, 343, -22)]
[(-15190, 3244, -5568), (-130, 483, -3)]
[(-15190, 3244, -5568), (-130, 483, -3)]
[(-15190, 3244, -5568), (-130, 483, -3)]
[(-15190, 3244, -5568), (-130, 483, -3)]
[(-15190, 3244, -5568), (-130, 483, -3)]
[(-15190, 3244, -5568), (-130, 483, -3)]
[(-15190, 3244, -5568), (-130, 483, -3)]
[(-15172, 3244, -5600), (-135, 460, -11)]
[(-15172, 3244, -5600), (-135, 460, -11)]
[(-15172, 3244, -5600), (-135, 460, -11)]
[(-15172, 3244, -5600), (-135, 460, -11)]
[(-15172, 3244, -5600), (-135, 460, -11)]
[(-15169, 3219, -5626), (-118, 439, -11)]
[(-15169, 3219, -5626), (-118, 439, -11)]
[(-15169, 3219, -5626), (-118, 439, -11)]
[(-15169, 3219, -5626), (-118, 439, -11)]
[(-15169, 3219, -5626), (-118, 439, -11)]
[(-15137, 3222, -5658), (-133, 425, 17)]
[(-15137, 3222, -5658), (-133, 425, 17)]
[(-15137, 3222, -5658), (-133, 425, 17)]
[(-15137, 3222, -5658), (-133, 425, 17)]
[(-15137, 3222, -5658), (-133, 425, 17)]
[(-15137, 3222, -5658), (-133, 425, 17)]
[(-15137, 3222, -5658), (-133, 425, 17)]
[(-15168, 3217, -5678), (-63, 418, 5)]
[(-15168, 3217, -5678), (-63, 418, 5)]
[(-15168, 3217, -5678), (-63, 418, 5)]
[(-15168, 3217, -5678), (-63, 418, 5)]
[(-15168, 3217, -5678), (-63, 418, 5)]
[(-15148, 3239, -5657), (-40, 358, -1)]
[(-15148, 3239, -5657), (-40, 358, -1)]
[(-15148, 3239, -5657), (-40, 358, -1)]
[(-15148, 3239, -5657), (-40, 358, -1)]
[(-15148, 3239, -5657), (-40, 358, -1)]
[(-15148, 3239, -5657), (-40, 358, -1)]
[(-15136, 3232, -5660), (-50, 311, 16)]
[(-15136, 3232, -5660), (-50, 311, 16)]
[(-15136, 3232, -5660), (-50, 311, 16)]
[(-15136, 3232, -5660), (-50, 311, 16)]
[(-15136, 3232, -5660), (-50, 311, 16)]
[(-15136, 3232, -5660), (-50, 311, 16)]
[(-15136, 3232, -5660), (-50, 311, 16)]
[(-15152, 3268, -5636), (-112, 288, 17)]
[(-15152, 3268, -5636), (-112, 288, 17)]
[(-15152, 3268, -5636), (-112, 288, 17)]
[(-15152, 3268, -5636), (-112, 288, 17)]
[(-15152, 3268, -5636), (-112, 288, 17)]
[(-15160, 3239, -5634), (-102, 309, -12)]
[(-15160, 3239, -5634), (-102, 309, -12)]
