[(-8246, 13204, -5768), (-14, -158, -31)]
[(-8246, 13204, -5768), (-14, -158, -31)]
[(-8246, 13204, -5768), (-14, -158, -31)]
[(-8246, 13204, -5768), (-14, -158, -31)]
[(-8246, 13204, -5768), (-14, -158, -31)]
[(-7897, 13144, -6832), (13, 159, 24)]
[(-7897, 13144, -6832), (13, 159, 24)]
[(-7897, 13144, -6832), (13, 159, 24)]
[(-7897, 13144, -6832), (13, 159, 24)]
[(-7843, 13165, -6930), (0, 106, -11)]
[(-7843, 13165, -6930), (0, 106, -11)]
[(-7843, 13165, -6930), (0, 106, -11)]
[(-7843, 13165, -6930), (0, 106, -11)]
[(-7843, 13165, -6930), (0, 106, -11)]
[(-7823, 13180, -7032), (-9, 87, -1)]
[(-7823, 13180, -7032), (-9, 87, -1)]
[(-7823, 13180, -7032), (-9, 87, -1)]
[(-7823, 13180, -7032), (-9, 87, -1)]
[(-7823, 13180, -7032), (-9, 87, -1)]
[(-7796, 13156, -7048), (23, 82, -34)]
[(-7796, 13156, -7048), (23, 82, -34)]
[(-7796, 13156, -7048), (23, 82, -34)]
[(-7796, 13156, -7048), (23, 82, -34)]
[(-7796, 13156, -7048), (23, 82, -34)]
[(-7796, 13156, -7048), (23, 82, -34)]
[(-7832, 13082, -7085), (5, 95, -20)]
[(-7832, 13082, -7085), (5, 95, -20)]
[(-7832, 13082, -7085), (5, 95, -20)]
[(-7832, 13082, -7085), (5, 95, -20)]
[(-7832, 13082, -7085), (5, 95, -20)]
[(-7832, 13082, -7085), (5, 95, -20)]
[(-7832, 13082, -7085), (5, 95, -20)]
[(-7822, 13053, -7175), (22, 80, -5)]
[(-7822, 13053, -7175), (22, 80, -5)]
[(-7822, 13053, -7175), (22, 80, -5)]
[(-7822, 13053, -7175), (22, 80, -5)]
[(-7822, 13053, -7175), (22, 80, -5)]
[(-7779, 13030, -7202), (39, 60, -9)]
[(-7779, 13030, -7202), (39, 60, -9)]
[(-7779, 13030, -7202), (39, 60, -9)]
[(-7779, 13030, -7202), (39, 60, -9)]
[(-7779, 13030, -7202), (39, 60, -9)]
[(-7779, 13030, -7202), (39, 60, -9)]
[(-7779, 13030, -7202), (39, 60, -9)]
[(-7779, 13030, -7202), (39, 60, -9)]
[(-7720, 13014, -7248), (11, 35, 17)]
[(-7720, 13014, -7248), (11, 35, 17)]
[(-7720, 13014, -7248), (11, 35, 17)]
[(-7720, 13014, -7248), (11, 35, 17)]
[(-7720, 13014, -7248), (11, 35, 17)]
[(-7728, 13033, -7313), (12, 73, 8)]
[(-7728, 13033, -7313), (12, 73, 8)]
[(-7728, 13033, -7313), (12, 73, 8)]
[(-7728, 13033, -7313), (12, 73, 8)]
[(-7728, 13033, -7313), (12, 73, 8)]
[(-7745, 13054, -7378), (-5, 90, 4)]
[(-7745, 13054, -7378), (-5, 90, 4)]
[(-7745, 13054, -7378), (-5, 90, 4)]
[(-7745, 13054, -7378), (-5, 90, 4)]
[(-7745, 13054, -7378), (-5, 90, 4)]
[(-7745, 13054, -7378), (-5, 90, 4)]
[(-7705, 13031, -7465), (1, 111, 0)]
[(-7705, 13031, -7465), (1, 111, 0)]
[(-7705, 13031, -7465), (1, 111, 0)]
[(-7705, 13031, -7465), (1, 111, 0)]
[(-7705, 13031, -7465), (1, 111, 0)]
[(-7705, 13031, -7465), (1, 111, 0)]
[(-7705, 13031, -7465), (1, 111, 0)]
[(-7700, 13011, -7552), (2, 118, 0)]
[(-7700, 13011, -7552), (2, 118, 0)]
[(-7700, 13011, -7552), (2, 118, 0)]
[(-7700, 13011, -7552), (2, 118, 0)]
[(-7700, 13011, -7552), (2, 118, 0)]
[(-7688, 12952, -7584), (13, 105, -11)]
[(-7688, 12952, -7584), (13, 105, -11)]
[(-7688, 12952, -7584), (13, 105, -11)]
[(-7688, 12952, -7584), (13, 105, -11)]
[(-7688, 12952, -7584), (13, 105, -11)]
[(-7688, 12952, -7584), (13, 105, -11)]
[(-7643, 12913, -7602), (12, 82, -14)]
[(-7643, 12913, -7602), (12, 82, -14)]
[(-7643, 12913, -7602), (12, 82, -14)]
[(-7643, 12913, -7602), (12, 82, -14)]
[(-7643, 12913, -7602), (12, 82, -14)]
[(-7643, 12913, -7602), (12, 82, -14)]
[(-7643, 12913, -7602), (12, 82, -14)]
[(-7631, 12900, -7609), (2, 61, -16)]
[(-7631, 12900, -7609), (2, 61, -16)]
[(-7631, 12900, -7609), (2, 61, -16)]
[(-7631, 12900, -7609), (2, 61, -16)]
[(-7631, 12900, -7609), (2, 61, -16)]
[(-7629, 12912, -7657), (1, 68, -24)]
[(-7629, 12912, -7657), (1, 68, -24)]
[(-7629, 12912, -7657), (1, 68, -24)]
[(-7629, 12912, -7657), (1, 68, -24)]
[(-7629, 12912, -7657), (1, 68, -24)]
[(-7629, 12912, -7657), (1, 68, -24)]
[(-7658, 12879, -7670), (-24, 52, -15)]
[(-7658, 12879, -7670), (-24, 52, -15)]
[(-7658, 12879, -7670), (-24, 52, -15)]
[(-7658, 12879, -7670), (-24, 52, -15)]
[(-7658, 12879, -7670), (-24, 52, -15)]
[(-7658, 12879, -7670), (-24, 52, -15)]
[(-7658, 12879, -7670), (-24, 52, -15)]
[(-7620, 12853, -7554), (-80, -1, -117)]
[(-7620, 12853, -7554), (-80, -1, -117)]
