[(-13368, -1651, -10157), (-5, 418, -5)]
[(-13368, -1651, -10157), (-5, 418, -5)]
[(-13356, -1686, -10132), (-82, 385, -38)]
[(-13356, -1686, -10132), (-82, 385, -38)]
[(-13356, -1686, -10132), (-82, 385, -38)]
[(-13356, -1686, -10132), (-82, 385, -38)]
[(-13356, -1686, -10132), (-82, 385, -38)]
[(-13356, -1686, -10132), (-82, 385, -38)]
[(-13356, -1686, -10132), (-82, 385, -38)]
[(-13356, -1686, -10132), (-82, 385, -38)]
[(-13333, -1686, -10109), (-42, 410, -4)]
[(-13333, -1686, -10109), (-42, 410, -4)]
[(-13333, -1686, -10109), (-42, 410, -4)]
[(-13333, -1686, -10109), (-42, 410, -4)]
[(-13333, -1686, -10109), (-42, 410, -4)]
