[(-13151, -1824, -10429), (73, 402, -11)]
[(-13151, -1824, -10429), (73, 402, -11)]
[(-13151, -1824, -10429), (73, 402, -11)]
[(-13151, -1824, -10429), (73, 402, -11)]
[(-13151, -1824, -10429), (73, 402, -11)]
[(-13151, -1824, -10429), (73, 402, -11)]
[(-13164, -1816, -10429), (0, 362, -35)]
[(-13164, -1816, -10429), (0, 362, -35)]
[(-13164, -1816, -10429), (0, 362, -35)]
[(-13164, -1816, -10429), (0, 362, -35)]
[(-13164, -1816, -10429), (0, 362, -35)]
[(-13164, -1816, -10429), (0, 362, -35)]
[(-13164, -1816, -10429), (0, 362, -35)]
[(-13162, -1796, -10370), (-78, 297, -9)]
[(-13162, -1796, -10370), (-78, 297, -9)]
[(-13162, -1796, -10370), (-78, 297, -9)]
[(-13162, -1796, -10370), (-78, 297, -9)]
[(-13162, -1796, -10370), (-78, 297, -9)]
[(-13151, -1834, -10369), (-55, 294, -29)]
[(-13151, -1834, -10369), (-55, 294, -29)]
[(-13151, -1834, -10369), (-55, 294, -29)]
[(-13151, -1834, -10369), (-55, 294, -29)]
[(-13151, -1834, -10369), (-55, 294, -29)]
[(-13151, -1834, -10369), (-55, 294, -29)]
[(-13184, -1847, -10375), (-88, 289, -9)]
[(-13184, -1847, -10375), (-88, 289, -9)]
[(-13184, -1847, -10375), (-88, 289, -9)]
[(-13184, -1847, -10375), (-88, 289, -9)]
[(-13184, -1847, -10375), (-88, 289, -9)]
[(-13184, -1847, -10375), (-88, 289, -9)]
[(-13184, -1847, -10375), (-88, 289, -9)]
[(-13211, -1834, -10355), (-172, 286, -8)]
[(-13211, -1834, -10355), (-172, 286, -8)]
[(-13211, -1834, -10355), (-172, 286, -8)]
[(-13211, -1834, -10355), (-172, 286, -8)]
[(-13211, -1834, -10355), (-172, 286, -8)]
[(-13211, -1834, -10355), (-172, 286, -8)]
[(-13230, -1840, -10341), (-192, 278, -13)]
[(-13230, -1840, -10341), (-192, 278, -13)]
[(-13230, -1840, -10341), (-192, 278, -13)]
[(-13230, -1840, -10341), (-192, 278, -13)]
[(-13230, -1840, -10341), (-192, 278, -13)]
[(-13222, -1842, -10364), (-238, 332, -11)]
[(-13222, -1842, -10364), (-238, 332, -11)]
[(-13222, -1842, -10364), (-238, 332, -11)]
[(-13222, -1842, -10364), (-238, 332, -11)]
[(-13222, -1842, -10364), (-238, 332, -11)]
[(-13222, -1842, -10364), (-238, 332, -11)]
[(-13222, -1842, -10364), (-238, 332, -11)]
[(-13203, -1824, -10400), (-278, 389, -1)]
[(-13203, -1824, -10400), (-278, 389, -1)]
[(-13203, -1824, -10400), (-278, 389, -1)]
[(-13203, -1824, -10400), (-278, 389, -1)]
[(-13203, -1824, -10400), (-278, 389, -1)]
[(-13192, -1796, -10390), (-320, 394, 0)]
[(-13192, -1796, -10390), (-320, 394, 0)]
[(-13192, -1796, -10390), (-320, 394, 0)]
[(-13192, -1796, -10390), (-320, 394, 0)]
[(-13192, -1796, -10390), (-320, 394, 0)]
[(-13192, -1796, -10390), (-320, 394, 0)]
[(-13181, -1775, -10396), (-216, 375, 15)]
[(-13181, -1775, -10396), (-216, 375, 15)]
