[(-15004, 3276, -5415), (-275, 575, 139)]
[(-14972, 3311, -5462), (-636, 737, 112)]
[(-14972, 3311, -5462), (-636, 737, 112)]
[(-14972, 3311, -5462), (-636, 737, 112)]
[(-14972, 3311, -5462), (-636, 737, 112)]
[(-14972, 3311, -5462), (-636, 737, 112)]
[(-14972, 3311, -5462), (-636, 737, 112)]
[(-14972, 3311, -5462), (-636, 737, 112)]
[(-14972, 3311, -5462), (-636, 737, 112)]
[(-14982, 3288, -5566), (-944, 853, 123)]
[(-14982, 3288, -5566), (-944, 853, 123)]
[(-14982, 3288, -5566), (-944, 853, 123)]
[(-15022, 3337, -5641), (-867, 832, 254)]
[(-15022, 3337, -5641), (-867, 832, 254)]
[(-15022, 3337, -5641), (-867, 832, 254)]
[(-15022, 3337, -5641), (-867, 832, 254)]
[(-15022, 3337, -5641), (-867, 832, 254)]
[(-15022, 3337, -5641), (-867, 832, 254)]
[(-15022, 3337, -5641), (-867, 832, 254)]
[(-14941, 3469, -5691), (-813, 715, 344)]
[(-14941, 3469, -5691), (-813, 715, 344)]
[(-14941, 3469, -5691), (-813, 715, 344)]
[(-14941, 3469, -5691), (-813, 715, 344)]
[(-14941, 3469, -5691), (-813, 715, 344)]
[(-14941, 3469, -5691), (-813, 715, 344)]
[(-14869, 3610, -5688), (-610, 605, 336)]
[(-14869, 3610, -5688), (-610, 605, 336)]
[(-14869, 3610, -5688), (-610, 605, 336)]
[(-14869, 3610, -5688), (-610, 605, 336)]
[(-14869, 3610, -5688), (-610, 605, 336)]
[(-14830, 3748, -5711), (-547, 541, 255)]
[(-14830, 3748, -5711), (-547, 541, 255)]
[(-14830, 3748, -5711), (-547, 541, 255)]
[(-14830, 3748, -5711), (-547, 541, 255)]
[(-14830, 3748, -5711), (-547, 541, 255)]
[(-14830, 3748, -5711), (-547, 541, 255)]
[(-14830, 3748, -5711), (-547, 541, 255)]
[(-14812, 3854, -5693), (-540, 511, 214)]
[(-14812, 3854, -5693), (-540, 511, 214)]
[(-14812, 3854, -5693), (-540, 511, 214)]
[(-14812, 3854, -5693), (-540, 511, 214)]
[(-14812, 3854, -5693), (-540, 511, 214)]
[(-14812, 3854, -5693), (-540, 511, 214)]
[(-14805, 3887, -5739), (-507, 442, 139)]
[(-14805, 3887, -5739), (-507, 442, 139)]
[(-14805, 3887, -5739), (-507, 442, 139)]
[(-14805, 3887, -5739), (-507, 442, 139)]
[(-14805, 3887, -5739), (-507, 442, 139)]
[(-14757, 3968, -5720), (-150, 240, 270)]
[(-14757, 3968, -5720), (-150, 240, 270)]
[(-14757, 3968, -5720), (-150, 240, 270)]
[(-14757, 3968, -5720), (-150, 240, 270)]
[(-14757, 3968, -5720), (-150, 240, 270)]
[(-14737, 4040, -5700), (-44, 222, 250)]
[(-14737, 4040, -5700), (-44, 222, 250)]
[(-14737, 4040, -5700), (-44, 222, 250)]
[(-14737, 4040, -5700), (-44, 222, 250)]
[(-14737, 4040, -5700), (-44, 222, 250)]
[(-14737, 4040, -5700), (-44, 222, 250)]
[(-14737, 4040, -5700), (-44, 222, 250)]
[(-14737, 4040, -5700), (-44, 222, 250)]
[(-14641, 4110, -5720), (-57, 463, 100)]
[(-14641, 4110, -5720), (-57, 463, 100)]
[(-14641, 4110, -5720), (-57, 463, 100)]
[(-14641, 4110, -5720), (-57, 463, 100)]
[(-14641, 4110, -5720), (-57, 463, 100)]
[(-14641, 4110, -5720), (-57, 463, 100)]
[(-14641, 4110, -5720), (-57, 463, 100)]
[(-14664, 4115, -5771), (44, 459, 88)]
[(-14664, 4115, -5771), (44, 459, 88)]
[(-14664, 4115, -5771), (44, 459, 88)]
[(-14843, 4073, -5752), (103, 290, 108)]
[(-14843, 4073, -5752), (103, 290, 108)]
[(-14843, 4073, -5752), (103, 290, 108)]
[(-14843, 4073, -5752), (103, 290, 108)]
[(-14843, 4073, -5752), (103, 290, 108)]
[(-14843, 4073, -5752), (103, 290, 108)]
[(-14843, 4073, -5752), (103, 290, 108)]
[(-14843, 4073, -5752), (103, 290, 108)]
[(-14826, 4070, -5752), (21, 347, 32)]
[(-14826, 4070, -5752), (21, 347, 32)]
[(-14826, 4070, -5752), (21, 347, 32)]
[(-14826, 4070, -5752), (21, 347, 32)]
[(-14826, 4070, -5752), (21, 347, 32)]
[(-14814, 4048, -5759), (-43, 252, 66)]
[(-14814, 4048, -5759), (-43, 252, 66)]
[(-14814, 4048, -5759), (-43, 252, 66)]
[(-14814, 4048, -5759), (-43, 252, 66)]
[(-14814, 4048, -5759), (-43, 252, 66)]
[(-14814, 4048, -5759), (-43, 252, 66)]
[(-14832, 4026, -5770), (-240, 310, 16)]
[(-14832, 4026, -5770), (-240, 310, 16)]
[(-14832, 4026, -5770), (-240, 310, 16)]
[(-14832, 4026, -5770), (-240, 310, 16)]
[(-14832, 4026, -5770), (-240, 310, 16)]
[(-14832, 4026, -5770), (-240, 310, 16)]
[(-14832, 4026, -5770), (-240, 310, 16)]
[(-14832, 4026, -5770), (-240, 310, 16)]
[(-14832, 4026, -5770), (-240, 310, 16)]
[(-14832, 4026, -5770), (-240, 310, 16)]
[(-14840, 4019, -5795), (-221, 336, 42)]
[(-14840, 4019, -5795), (-221, 336, 42)]
[(-14800, 4042, -5812), (-92, 334, 52)]
[(-14800, 4042, -5812), (-92, 334, 52)]
[(-14800, 4042, -5812), (-92, 334, 52)]
[(-14800, 4042, -5812), (-92, 334, 52)]
[(-14800, 4042, -5812), (-92, 334, 52)]
