[(-14720, 1262, -7712), (-109, 370, -33)]
[(-14712, 1262, -7704), (-133, 370, -31)]
[(-14712, 1262, -7704), (-133, 370, -31)]
[(-14712, 1262, -7704), (-133, 370, -31)]
[(-14712, 1262, -7704), (-133, 370, -31)]
[(-14712, 1262, -7704), (-133, 370, -31)]
[(-14712, 1262, -7704), (-133, 370, -31)]
[(-14698, 1254, -7700), (-157, 387, -19)]
[(-14698, 1254, -7700), (-157, 387, -19)]
[(-14698, 1254, -7700), (-157, 387, -19)]
[(-14698, 1254, -7700), (-157, 387, -19)]
[(-14698, 1254, -7700), (-157, 387, -19)]
[(-14698, 1254, -7700), (-157, 387, -19)]
[(-14698, 1254, -7700), (-157, 387, -19)]
[(-14698, 1254, -7700), (-157, 387, -19)]
[(-14698, 1254, -7700), (-157, 387, -19)]
[(-14711, 1273, -7736), (-162, 407, -27)]
[(-14711, 1273, -7736), (-162, 407, -27)]
[(-14680, 1294, -7729), (-157, 388, -15)]
[(-14680, 1294, -7729), (-157, 388, -15)]
[(-14680, 1294, -7729), (-157, 388, -15)]
[(-14680, 1294, -7729), (-157, 388, -15)]
[(-14680, 1294, -7729), (-157, 388, -15)]
[(-14680, 1294, -7729), (-157, 388, -15)]
[(-14680, 1294, -7729), (-157, 388, -15)]
[(-14683, 1342, -7738), (-192, 349, 10)]
[(-14683, 1342, -7738), (-192, 349, 10)]
[(-14683, 1342, -7738), (-192, 349, 10)]
[(-14683, 1342, -7738), (-192, 349, 10)]
[(-14683, 1342, -7738), (-192, 349, 10)]
[(-14683, 1342, -7738), (-192, 349, 10)]
[(-14683, 1342, -7738), (-192, 349, 10)]
[(-14683, 1342, -7738), (-192, 349, 10)]
[(-14683, 1342, -7738), (-192, 349, 10)]
[(-14683, 1342, -7738), (-192, 349, 10)]
[(-14683, 1342, -7738), (-192, 349, 10)]
[(-14666, 1275, -7862), (-188, 355, 201)]
[(-14666, 1275, -7862), (-188, 355, 201)]
[(-14666, 1275, -7862), (-188, 355, 201)]
[(-14666, 1275, -7862), (-188, 355, 201)]
[(-14666, 1275, -7862), (-188, 355, 201)]
[(-14666, 1275, -7862), (-188, 355, 201)]
[(-14666, 1275, -7862), (-188, 355, 201)]
[(-14645, 1300, -7843), (-65, 363, 239)]
[(-14645, 1300, -7843), (-65, 363, 239)]
[(-14645, 1300, -7843), (-65, 363, 239)]
[(-14645, 1300, -7843), (-65, 363, 239)]
[(-14645, 1300, -7843), (-65, 363, 239)]
[(-14665, 1340, -7868), (-115, 357, 184)]
[(-14665, 1340, -7868), (-115, 357, 184)]
[(-14665, 1340, -7868), (-115, 357, 184)]
[(-14665, 1340, -7868), (-115, 357, 184)]
[(-14665, 1340, -7868), (-115, 357, 184)]
[(-14665, 1340, -7868), (-115, 357, 184)]
[(-14645, 1392, -7872), (-110, 353, 140)]
[(-14645, 1392, -7872), (-110, 353, 140)]
[(-14645, 1392, -7872), (-110, 353, 140)]
[(-14645, 1392, -7872), (-110, 353, 140)]
[(-14645, 1392, -7872), (-110, 353, 140)]
[(-14645, 1392, -7872), (-110, 353, 140)]
[(-14645, 1392, -7872), (-110, 353, 140)]
[(-14645, 1392, -7872), (-110, 353, 140)]
[(-14645, 1392, -7872), (-110, 353, 140)]
[(-14668, 1444, -7816), (129, 192, 105)]
[(-14668, 1444, -7816), (129, 192, 105)]
[(-14668, 1444, -7816), (129, 192, 105)]
[(-14668, 1444, -7816), (129, 192, 105)]
[(-14668, 1444, -7816), (129, 192, 105)]
[(-14668, 1444, -7816), (129, 192, 105)]
[(-14668, 1444, -7816), (129, 192, 105)]
[(-14713, 1517, -7758), (5, 164, 120)]
[(-14713, 1517, -7758), (5, 164, 120)]
[(-14633, 1615, -7734), (-36, 255, 137)]
[(-14633, 1615, -7734), (-36, 255, 137)]
[(-14633, 1615, -7734), (-36, 255, 137)]
[(-14633, 1615, -7734), (-36, 255, 137)]
[(-14633, 1615, -7734), (-36, 255, 137)]
[(-14633, 1615, -7734), (-36, 255, 137)]
[(-14633, 1615, -7734), (-36, 255, 137)]
[(-14619, 1529, -7800), (116, 467, -135)]
[(-14619, 1529, -7800), (116, 467, -135)]
[(-14619, 1529, -7800), (116, 467, -135)]
[(-14619, 1529, -7800), (116, 467, -135)]
[(-14619, 1529, -7800), (116, 467, -135)]
[(-14642, 1337, -7832), (65, 366, -520)]
[(-14642, 1337, -7832), (65, 366, -520)]
[(-14642, 1337, -7832), (65, 366, -520)]
[(-14642, 1337, -7832), (65, 366, -520)]
[(-14642, 1337, -7832), (65, 366, -520)]
[(-14642, 1337, -7832), (65, 366, -520)]
[(-14668, 1253, -7793), (-86, 215, -444)]
[(-14668, 1253, -7793), (-86, 215, -444)]
[(-14668, 1253, -7793), (-86, 215, -444)]
[(-14668, 1253, -7793), (-86, 215, -444)]
[(-14668, 1253, -7793), (-86, 215, -444)]
[(-14724, 1253, -7788), (-144, 277, -69)]
[(-14724, 1253, -7788), (-144, 277, -69)]
[(-14724, 1253, -7788), (-144, 277, -69)]
