[(-15334, 1985, -5304), (-485, 825, 1014)]
[(-15260, 2256, -5426), (-384, 779, 884)]
[(-15260, 2256, -5426), (-384, 779, 884)]
[(-15260, 2256, -5426), (-384, 779, 884)]
[(-15260, 2256, -5426), (-384, 779, 884)]
[(-15230, 2477, -5511), (-346, 723, 768)]
[(-15230, 2477, -5511), (-346, 723, 768)]
[(-15230, 2477, -5511), (-346, 723, 768)]
[(-15230, 2477, -5511), (-346, 723, 768)]
[(-15230, 2477, -5511), (-346, 723, 768)]
[(-15230, 2477, -5511), (-346, 723, 768)]
[(-15230, 2477, -5511), (-346, 723, 768)]
[(-15137, 2672, -5579), (-386, 687, 560)]
[(-15137, 2672, -5579), (-386, 687, 560)]
[(-15137, 2672, -5579), (-386, 687, 560)]
[(-15137, 2672, -5579), (-386, 687, 560)]
[(-15137, 2672, -5579), (-386, 687, 560)]
[(-15137, 2672, -5579), (-386, 687, 560)]
[(-15090, 2761, -5633), (-548, 561, 399)]
[(-15090, 2761, -5633), (-548, 561, 399)]
[(-15090, 2761, -5633), (-548, 561, 399)]
[(-15090, 2761, -5633), (-548, 561, 399)]
[(-15090, 2761, -5633), (-548, 561, 399)]
[(-15119, 2774, -5664), (-611, 477, 399)]
[(-15119, 2774, -5664), (-611, 477, 399)]
[(-15119, 2774, -5664), (-611, 477, 399)]
[(-15119, 2774, -5664), (-611, 477, 399)]
[(-15119, 2774, -5664), (-611, 477, 399)]
[(-15119, 2774, -5664), (-611, 477, 399)]
[(-15119, 2774, -5664), (-611, 477, 399)]
[(-15080, 2879, -5680), (-573, 475, 336)]
[(-15080, 2879, -5680), (-573, 475, 336)]
[(-15080, 2879, -5680), (-573, 475, 336)]
[(-15080, 2879, -5680), (-573, 475, 336)]
[(-15080, 2879, -5680), (-573, 475, 336)]
[(-15080, 2879, -5680), (-573, 475, 336)]
[(-15080, 2879, -5680), (-573, 475, 336)]
[(-14966, 2992, -5692), (-122, 595, 353)]
[(-14966, 2992, -5692), (-122, 595, 353)]
[(-14966, 2992, -5692), (-122, 595, 353)]
[(-14966, 2992, -5692), (-122, 595, 353)]
[(-14891, 3074, -5717), (20, 561, 202)]
[(-14891, 3074, -5717), (20, 561, 202)]
[(-14891, 3074, -5717), (20, 561, 202)]
[(-14891, 3074, -5717), (20, 561, 202)]
[(-14891, 3074, -5717), (20, 561, 202)]
[(-14891, 3074, -5717), (20, 561, 202)]
[(-14891, 3074, -5717), (20, 561, 202)]
[(-14872, 3123, -5753), (23, 462, 169)]
[(-14872, 3123, -5753), (23, 462, 169)]
[(-14872, 3123, -5753), (23, 462, 169)]
[(-14872, 3123, -5753), (23, 462, 169)]
[(-14872, 3123, -5753), (23, 462, 169)]
[(-14872, 3123, -5753), (23, 462, 169)]
[(-14816, 3131, -5724), (-226, 352, 122)]
[(-14816, 3131, -5724), (-226, 352, 122)]
[(-14816, 3131, -5724), (-226, 352, 122)]
[(-14816, 3131, -5724), (-226, 352, 122)]
[(-14816, 3131, -5724), (-226, 352, 122)]
[(-14837, 3183, -5707), (-323, 295, 13)]
[(-14837, 3183, -5707), (-323, 295, 13)]
[(-14837, 3183, -5707), (-323, 295, 13)]
[(-14837, 3183, -5707), (-323, 295, 13)]
[(-14837, 3183, -5707), (-323, 295, 13)]
[(-14903, 3179, -5660), (-133, 346, -9)]
[(-14903, 3179, -5660), (-133, 346, -9)]
[(-14903, 3179, -5660), (-133, 346, -9)]
[(-14903, 3179, -5660), (-133, 346, -9)]
[(-14903, 3179, -5660), (-133, 346, -9)]
[(-14903, 3179, -5660), (-133, 346, -9)]
[(-14903, 3179, -5660), (-133, 346, -9)]
[(-14903, 3179, -5660), (-133, 346, -9)]
[(-14929, 3172, -5677), (9, 350, 19)]
[(-14929, 3172, -5677), (9, 350, 19)]
[(-14929, 3172, -5677), (9, 350, 19)]
[(-14929, 3172, -5677), (9, 350, 19)]
[(-14929, 3172, -5677), (9, 350, 19)]
[(-14948, 3140, -5711), (31, 340, 41)]
[(-14948, 3140, -5711), (31, 340, 41)]
[(-14948, 3140, -5711), (31, 340, 41)]
[(-14948, 3140, -5711), (31, 340, 41)]
[(-14983, 3052, -5741), (172, 227, -68)]
[(-14983, 3052, -5741), (172, 227, -68)]
[(-14983, 3052, -5741), (172, 227, -68)]
[(-14983, 3052, -5741), (172, 227, -68)]
[(-14983, 3052, -5741), (172, 227, -68)]
[(-14983, 3052, -5741), (172, 227, -68)]
[(-14983, 3052, -5741), (172, 227, -68)]
[(-14983, 3052, -5741), (172, 227, -68)]
[(-15006, 3033, -5692), (207, 71, -219)]
[(-15006, 3033, -5692), (207, 71, -219)]
[(-15006, 3033, -5692), (207, 71, -219)]
[(-15006, 3033, -5692), (207, 71, -219)]
[(-15006, 3033, -5692), (207, 71, -219)]
[(-15006, 3033, -5692), (207, 71, -219)]
[(-15006, 3033, -5692), (207, 71, -219)]
[(-15006, 3033, -5692), (207, 71, -219)]
[(-15006, 3033, -5692), (207, 71, -219)]
[(-15006, 3033, -5692), (207, 71, -219)]
[(-15054, 3068, -5595), (278, -494, -397)]
[(-15054, 3068, -5595), (278, -494, -397)]
[(-15054, 3068, -5595), (278, -494, -397)]
[(-15054, 3068, -5595), (278, -494, -397)]
[(-15054, 3068, -5595), (278, -494, -397)]
