[(-14730, 785, -7678), (-87, 321, -2)]
[(-14737, 775, -7663), (-97, 321, -12)]
[(-14737, 775, -7663), (-97, 321, -12)]
[(-14737, 775, -7663), (-97, 321, -12)]
[(-14737, 775, -7663), (-97, 321, -12)]
[(-14737, 775, -7663), (-97, 321, -12)]
[(-14747, 786, -7670), (-89, 330, -17)]
[(-14747, 786, -7670), (-89, 330, -17)]
[(-14747, 786, -7670), (-89, 330, -17)]
[(-14747, 786, -7670), (-89, 330, -17)]
[(-14747, 786, -7670), (-89, 330, -17)]
[(-14749, 776, -7707), (-87, 343, -22)]
[(-14749, 776, -7707), (-87, 343, -22)]
[(-14749, 776, -7707), (-87, 343, -22)]
[(-14749, 776, -7707), (-87, 343, -22)]
[(-14749, 776, -7707), (-87, 343, -22)]
[(-14749, 776, -7707), (-87, 343, -22)]
[(-14749, 776, -7707), (-87, 343, -22)]
[(-14758, 772, -7708), (-81, 353, -27)]
[(-14758, 772, -7708), (-81, 353, -27)]
[(-14758, 772, -7708), (-81, 353, -27)]
[(-14758, 772, -7708), (-81, 353, -27)]
[(-14758, 772, -7708), (-81, 353, -27)]
[(-14758, 772, -7708), (-81, 353, -27)]
[(-14762, 770, -7704), (-81, 350, -44)]
[(-14762, 770, -7704), (-81, 350, -44)]
[(-14762, 770, -7704), (-81, 350, -44)]
[(-14762, 770, -7704), (-81, 350, -44)]
[(-14762, 770, -7704), (-81, 350, -44)]
[(-14775, 753, -7713), (-76, 353, -27)]
[(-14775, 753, -7713), (-76, 353, -27)]
[(-14775, 753, -7713), (-76, 353, -27)]
[(-14775, 753, -7713), (-76, 353, -27)]
[(-14775, 753, -7713), (-76, 353, -27)]
[(-14775, 753, -7713), (-76, 353, -27)]
[(-14775, 753, -7713), (-76, 353, -27)]
[(-14754, 761, -7705), (21, 613, 34)]
[(-14754, 761, -7705), (21, 613, 34)]
[(-14754, 761, -7705), (21, 613, 34)]
[(-14754, 761, -7705), (21, 613, 34)]
[(-14754, 761, -7705), (21, 613, 34)]
[(-14754, 761, -7705), (21, 613, 34)]
[(-14754, 761, -7705), (21, 613, 34)]
[(-14754, 761, -7705), (21, 613, 34)]
[(-14754, 761, -7705), (21, 613, 34)]
[(-14734, 726, -7702), (23, 548, 9)]
[(-14734, 726, -7702), (23, 548, 9)]
[(-14734, 726, -7702), (23, 548, 9)]
[(-14734, 726, -7702), (23, 548, 9)]
[(-14759, 703, -7692), (-11, 507, -16)]
[(-14759, 703, -7692), (-11, 507, -16)]
[(-14759, 703, -7692), (-11, 507, -16)]
[(-14759, 703, -7692), (-11, 507, -16)]
[(-14759, 703, -7692), (-11, 507, -16)]
[(-14766, 694, -7709), (-22, 488, -27)]
[(-14766, 694, -7709), (-22, 488, -27)]
[(-14766, 694, -7709), (-22, 488, -27)]
[(-14766, 694, -7709), (-22, 488, -27)]
[(-14766, 694, -7709), (-22, 488, -27)]
[(-14766, 694, -7709), (-22, 488, -27)]
[(-14791, 671, -7710), (-55, 481, 24)]
[(-14791, 671, -7710), (-55, 481, 24)]
[(-14791, 671, -7710), (-55, 481, 24)]
[(-14791, 671, -7710), (-55, 481, 24)]
[(-14791, 671, -7710), (-55, 481, 24)]
[(-14798, 673, -7683), (-81, 446, 35)]
[(-14798, 673, -7683), (-81, 446, 35)]
[(-14798, 673, -7683), (-81, 446, 35)]
[(-14798, 673, -7683), (-81, 446, 35)]
[(-14798, 673, -7683), (-81, 446, 35)]
[(-14798, 673, -7683), (-81, 446, 35)]
[(-14798, 673, -7683), (-81, 446, 35)]
[(-14801, 639, -7692), (-85, 410, -26)]
[(-14801, 639, -7692), (-85, 410, -26)]
[(-14801, 639, -7692), (-85, 410, -26)]
[(-14801, 639, -7692), (-85, 410, -26)]
[(-14801, 639, -7692), (-85, 410, -26)]
[(-14801, 639, -7692), (-85, 410, -26)]
[(-14802, 648, -7710), (-141, 449, -38)]
[(-14802, 648, -7710), (-141, 449, -38)]
[(-14802, 648, -7710), (-141, 449, -38)]
[(-14802, 648, -7710), (-141, 449, -38)]
[(-14802, 648, -7710), (-141, 449, -38)]
[(-14795, 626, -7743), (-105, 380, 40)]
[(-14795, 626, -7743), (-105, 380, 40)]
[(-14795, 626, -7743), (-105, 380, 40)]
[(-14795, 626, -7743), (-105, 380, 40)]
[(-14795, 626, -7743), (-105, 380, 40)]
[(-14795, 626, -7743), (-105, 380, 40)]
[(-14795, 626, -7743), (-105, 380, 40)]
[(-14765, 636, -7706), (-177, 385, 22)]
[(-14765, 636, -7706), (-177, 385, 22)]
[(-14765, 636, -7706), (-177, 385, 22)]
[(-14765, 636, -7706), (-177, 385, 22)]
[(-14765, 636, -7706), (-177, 385, 22)]
[(-14765, 636, -7706), (-177, 385, 22)]
[(-14757, 684, -7710), (-130, 389, 42)]
[(-14757, 684, -7710), (-130, 389, 42)]
[(-14757, 684, -7710), (-130, 389, 42)]
[(-14757, 684, -7710), (-130, 389, 42)]
[(-14757, 684, -7710), (-130, 389, 42)]
[(-14754, 703, -7718), (-151, 375, 29)]
[(-14754, 703, -7718), (-151, 375, 29)]
[(-14754, 703, -7718), (-151, 375, 29)]
[(-14754, 703, -7718), (-151, 375, 29)]
[(-14754, 703, -7718), (-151, 375, 29)]
[(-14754, 742, -7712), (-99, 400, 55)]
[(-14754, 742, -7712), (-99, 400, 55)]
[(-14754, 742, -7712), (-99, 400, 55)]
[(-14754, 742, -7712), (-99, 400, 55)]
