[(-14529, 3790, -6700), (-253, 588, 537)]
[(-14515, 3869, -6753), (-156, 547, 411)]
[(-14515, 3869, -6753), (-156, 547, 411)]
[(-14515, 3869, -6753), (-156, 547, 411)]
[(-14465, 3940, -6782), (-93, 520, 330)]
[(-14465, 3940, -6782), (-93, 520, 330)]
[(-14465, 3940, -6782), (-93, 520, 330)]
[(-14465, 3940, -6782), (-93, 520, 330)]
[(-14465, 3940, -6782), (-93, 520, 330)]
[(-14465, 3940, -6782), (-93, 520, 330)]
[(-14465, 3940, -6782), (-93, 520, 330)]
[(-14417, 4017, -6798), (-81, 495, 283)]
[(-14417, 4017, -6798), (-81, 495, 283)]
[(-14417, 4017, -6798), (-81, 495, 283)]
[(-14417, 4017, -6798), (-81, 495, 283)]
[(-14417, 4017, -6798), (-81, 495, 283)]
[(-14417, 4017, -6798), (-81, 495, 283)]
[(-14404, 4035, -6817), (-63, 451, 199)]
[(-14404, 4035, -6817), (-63, 451, 199)]
[(-14404, 4035, -6817), (-63, 451, 199)]
[(-14404, 4035, -6817), (-63, 451, 199)]
[(-14404, 4035, -6817), (-63, 451, 199)]
[(-14388, 4075, -6888), (-77, 397, 185)]
[(-14388, 4075, -6888), (-77, 397, 185)]
[(-14388, 4075, -6888), (-77, 397, 185)]
[(-14388, 4075, -6888), (-77, 397, 185)]
[(-14388, 4075, -6888), (-77, 397, 185)]
[(-14388, 4075, -6888), (-77, 397, 185)]
[(-14388, 4075, -6888), (-77, 397, 185)]
[(-14355, 4128, -6892), (-68, 402, 72)]
[(-14355, 4128, -6892), (-68, 402, 72)]
[(-14355, 4128, -6892), (-68, 402, 72)]
[(-14355, 4128, -6892), (-68, 402, 72)]
[(-14355, 4128, -6892), (-68, 402, 72)]
[(-14355, 4128, -6892), (-68, 402, 72)]
[(-14351, 4162, -6889), (-100, 362, 57)]
[(-14351, 4162, -6889), (-100, 362, 57)]
[(-14351, 4162, -6889), (-100, 362, 57)]
[(-14351, 4162, -6889), (-100, 362, 57)]
[(-14351, 4162, -6889), (-100, 362, 57)]
[(-14322, 4208, -6908), (-58, 418, 13)]
[(-14322, 4208, -6908), (-58, 418, 13)]
[(-14322, 4208, -6908), (-58, 418, 13)]
[(-14322, 4208, -6908), (-58, 418, 13)]
[(-14322, 4208, -6908), (-58, 418, 13)]
[(-14322, 4208, -6908), (-58, 418, 13)]
[(-14322, 4208, -6908), (-58, 418, 13)]
[(-14312, 4224, -6876), (-294, 429, 103)]
[(-14312, 4224, -6876), (-294, 429, 103)]
[(-14312, 4224, -6876), (-294, 429, 103)]
[(-14312, 4224, -6876), (-294, 429, 103)]
[(-14312, 4224, -6876), (-294, 429, 103)]
[(-14312, 4224, -6876), (-294, 429, 103)]
[(-14352, 4184, -6892), (-246, 454, 88)]
[(-14352, 4184, -6892), (-246, 454, 88)]
[(-14352, 4184, -6892), (-246, 454, 88)]
[(-14352, 4184, -6892), (-246, 454, 88)]
[(-14352, 4184, -6892), (-246, 454, 88)]
[(-14348, 4211, -6941), (-217, 426, 110)]
[(-14348, 4211, -6941), (-217, 426, 110)]
[(-14348, 4211, -6941), (-217, 426, 110)]
[(-14348, 4211, -6941), (-217, 426, 110)]
[(-14348, 4211, -6941), (-217, 426, 110)]
[(-14348, 4211, -6941), (-217, 426, 110)]
[(-14348, 4211, -6941), (-217, 426, 110)]
[(-14358, 4212, -6936), (-316, 389, 66)]
[(-14358, 4212, -6936), (-316, 389, 66)]
[(-14358, 4212, -6936), (-316, 389, 66)]
[(-14358, 4212, -6936), (-316, 389, 66)]
[(-14358, 4212, -6936), (-316, 389, 66)]
[(-14358, 4212, -6936), (-316, 389, 66)]
[(-14359, 4216, -6933), (-435, 226, 27)]
[(-14359, 4216, -6933), (-435, 226, 27)]
[(-14359, 4216, -6933), (-435, 226, 27)]
[(-14359, 4216, -6933), (-435, 226, 27)]
[(-14359, 4216, -6933), (-435, 226, 27)]
[(-14384, 4212, -6887), (-264, 229, 8)]
[(-14384, 4212, -6887), (-264, 229, 8)]
[(-14384, 4212, -6887), (-264, 229, 8)]
[(-14384, 4212, -6887), (-264, 229, 8)]
[(-14384, 4212, -6887), (-264, 229, 8)]
[(-14384, 4212, -6887), (-264, 229, 8)]
[(-14384, 4212, -6887), (-264, 229, 8)]
[(-14390, 4236, -6885), (-92, 282, 4)]
[(-14390, 4236, -6885), (-92, 282, 4)]
[(-14390, 4236, -6885), (-92, 282, 4)]
[(-14390, 4236, -6885), (-92, 282, 4)]
[(-14390, 4236, -6885), (-92, 282, 4)]
[(-14390, 4236, -6885), (-92, 282, 4)]
[(-14417, 4216, -6880), (41, 287, -12)]
[(-14417, 4216, -6880), (41, 287, -12)]
[(-14417, 4216, -6880), (41, 287, -12)]
[(-14417, 4216, -6880), (41, 287, -12)]
[(-14417, 4216, -6880), (41, 287, -12)]
[(-14406, 4193, -6875), (42, 294, -21)]
[(-14406, 4193, -6875), (42, 294, -21)]
[(-14406, 4193, -6875), (42, 294, -21)]
[(-14406, 4193, -6875), (42, 294, -21)]
[(-14406, 4193, -6875), (42, 294, -21)]
[(-14406, 4193, -6875), (42, 294, -21)]
[(-14406, 4193, -6875), (42, 294, -21)]
[(-14404, 4164, -6854), (0, 284, -33)]
[(-14404, 4164, -6854), (0, 284, -33)]
[(-14404, 4164, -6854), (0, 284, -33)]
[(-14404, 4164, -6854), (0, 284, -33)]
[(-14404, 4164, -6854), (0, 284, -33)]
[(-14404, 4164, -6854), (0, 284, -33)]
[(-14392, 4117, -6876), (-48, 305, -51)]
[(-14392, 4117, -6876), (-48, 305, -51)]
[(-14392, 4117, -6876), (-48, 305, -51)]
[(-14392, 4117, -6876), (-48, 305, -51)]
[(-14392, 4117, -6876), (-48, 305, -51)]
[(-14410, 4089, -6900), (-62, 316, -46)]
[(-14410, 4089, -6900), (-62, 316, -46)]
[(-14410, 4089, -6900), (-62, 316, -46)]
[(-14410, 4089, -6900), (-62, 316, -46)]
[(-14410, 4089, -6900), (-62, 316, -46)]
[(-14410, 4089, -6900), (-62, 316, -46)]
[(-14410, 4089, -6900), (-62, 316, -46)]
[(-14436, 4059, -6903), (-80, 297, -89)]
[(-14436, 4059, -6903), (-80, 297, -89)]
[(-14436, 4059, -6903), (-80, 297, -89)]
[(-14436, 4059, -6903), (-80, 297, -89)]
[(-14436, 4059, -6903), (-80, 297, -89)]
[(-14436, 4059, -6903), (-80, 297, -89)]
[(-14272, 4111, -6972), (-103, 292, -120)]
[(-14272, 4111, -6972), (-103, 292, -120)]
[(-14272, 4111, -6972), (-103, 292, -120)]
