[(-3012, 15632, -5412), (-2, 0, -108)]
[(-2992, 15616, -5398), (-2, 0, -106)]
[(-2992, 15616, -5398), (-2, 0, -106)]
[(-2992, 15616, -5398), (-2, 0, -106)]
[(-2992, 15616, -5398), (-2, 0, -106)]
[(-2992, 15616, -5398), (-2, 0, -106)]
[(-2992, 15616, -5398), (-2, 0, -106)]
[(-3027, 15601, -5392), (-2, 0, -106)]
[(-3027, 15601, -5392), (-2, 0, -106)]
[(-3027, 15601, -5392), (-2, 0, -106)]
[(-3027, 15601, -5392), (-2, 0, -106)]
[(-3027, 15601, -5392), (-2, 0, -106)]
[(-3027, 15601, -5392), (-2, 0, -106)]
[(-3023, 15620, -5362), (-3, 0, -107)]
[(-3023, 15620, -5362), (-3, 0, -107)]
[(-3023, 15620, -5362), (-3, 0, -107)]
[(-3023, 15620, -5362), (-3, 0, -107)]
[(-3023, 15620, -5362), (-3, 0, -107)]
[(-3023, 15631, -5292), (-3, 0, -107)]
[(-3023, 15631, -5292), (-3, 0, -107)]
[(-3023, 15631, -5292), (-3, 0, -107)]
[(-3023, 15631, -5292), (-3, 0, -107)]
[(-3023, 15631, -5292), (-3, 0, -107)]
[(-3023, 15631, -5292), (-3, 0, -107)]
[(-3023, 15631, -5292), (-3, 0, -107)]
[(-3023, 15631, -5292), (-3, 0, -107)]
[(-3023, 15631, -5292), (-3, 0, -107)]
[(-3032, 15628, -5336), (-3, 1, -106)]
[(-3032, 15628, -5336), (-3, 1, -106)]
[(-3032, 15628, -5336), (-3, 1, -106)]
[(-3032, 15628, -5336), (-3, 1, -106)]
[(-3101, 15634, -5287), (-4, 2, -106)]
[(-3101, 15634, -5287), (-4, 2, -106)]
[(-3101, 15634, -5287), (-4, 2, -106)]
[(-3101, 15634, -5287), (-4, 2, -106)]
[(-3101, 15634, -5287), (-4, 2, -106)]
[(-3117, 15624, -5248), (-4, 2, -107)]
[(-3117, 15624, -5248), (-4, 2, -107)]
[(-3117, 15624, -5248), (-4, 2, -107)]
[(-3117, 15624, -5248), (-4, 2, -107)]
[(-3117, 15624, -5248), (-4, 2, -107)]
[(-3117, 15624, -5248), (-4, 2, -107)]
[(-3117, 15624, -5248), (-4, 2, -107)]
[(-3226, 15664, -5202), (-4, 3, -106)]
[(-3226, 15664, -5202), (-4, 3, -106)]
[(-3226, 15664, -5202), (-4, 3, -106)]
[(-3226, 15664, -5202), (-4, 3, -106)]
[(-3226, 15664, -5202), (-4, 3, -106)]
[(-3226, 15664, -5202), (-4, 3, -106)]
[(-3248, 15629, -5227), (-4, 3, -106)]
[(-3248, 15629, -5227), (-4, 3, -106)]
[(-3248, 15629, -5227), (-4, 3, -106)]
[(-3248, 15629, -5227), (-4, 3, -106)]
[(-3248, 15629, -5227), (-4, 3, -106)]
[(-3230, 15597, -5313), (-11, 2, -107)]
[(-3230, 15597, -5313), (-11, 2, -107)]
[(-3230, 15597, -5313), (-11, 2, -107)]
[(-3230, 15597, -5313), (-11, 2, -107)]
[(-3230, 15597, -5313), (-11, 2, -107)]
[(-3230, 15597, -5313), (-11, 2, -107)]
[(-3230, 15597, -5313), (-11, 2, -107)]
[(-3244, 15592, -5317), (-9, 0, -105)]
[(-3244, 15592, -5317), (-9, 0, -105)]
[(-3244, 15592, -5317), (-9, 0, -105)]
[(-3244, 15592, -5317), (-9, 0, -105)]
[(-3244, 15592, -5317), (-9, 0, -105)]
[(-3244, 15592, -5317), (-9, 0, -105)]
[(-3242, 15584, -5309), (-3, -2, -109)]
[(-3242, 15584, -5309), (-3, -2, -109)]
[(-3242, 15584, -5309), (-3, -2, -109)]
[(-3242, 15584, -5309), (-3, -2, -109)]
[(-3242, 15584, -5309), (-3, -2, -109)]
[(-3273, 15569, -5268), (3, 23, -114)]
[(-3273, 15569, -5268), (3, 23, -114)]
[(-3273, 15569, -5268), (3, 23, -114)]
[(-3273, 15569, -5268), (3, 23, -114)]
[(-3273, 15569, -5268), (3, 23, -114)]
[(-3273, 15569, -5268), (3, 23, -114)]
[(-3273, 15569, -5268), (3, 23, -114)]
[(-3260, 15567, -5231), (8, 25, -120)]
[(-3260, 15567, -5231), (8, 25, -120)]
[(-3260, 15567, -5231), (8, 25, -120)]
[(-3260, 15567, -5231), (8, 25, -120)]
[(-3260, 15567, -5231), (8, 25, -120)]
[(-3260, 15567, -5231), (8, 25, -120)]
[(-3230, 15596, -5223), (11, 35, -123)]
[(-3230, 15596, -5223), (11, 35, -123)]
[(-3230, 15596, -5223), (11, 35, -123)]
[(-3230, 15596, -5223), (11, 35, -123)]
[(-3230, 15596, -5223), (11, 35, -123)]
[(-3231, 15616, -5204), (14, 30, -112)]
[(-3231, 15616, -5204), (14, 30, -112)]
[(-3231, 15616, -5204), (14, 30, -112)]
[(-3231, 15616, -5204), (14, 30, -112)]
[(-3231, 15616, -5204), (14, 30, -112)]
[(-3231, 15616, -5204), (14, 30, -112)]
[(-3232, 15605, -5194), (16, 40, -116)]
[(-3232, 15605, -5194), (16, 40, -116)]
[(-3232, 15605, -5194), (16, 40, -116)]
[(-3232, 15605, -5194), (16, 40, -116)]
[(-3232, 15605, -5194), (16, 40, -116)]
[(-3232, 15605, -5194), (16, 40, -116)]
[(-3283, 15560, -5234), (17, 38, -119)]
[(-3283, 15560, -5234), (17, 38, -119)]
[(-3283, 15560, -5234), (17, 38, -119)]
[(-3283, 15560, -5234), (17, 38, -119)]
[(-3283, 15560, -5234), (17, 38, -119)]
[(-3320, 15576, -5159), (13, 46, -119)]
[(-3320, 15576, -5159), (13, 46, -119)]
[(-3320, 15576, -5159), (13, 46, -119)]
[(-3320, 15576, -5159), (13, 46, -119)]
[(-3320, 15576, -5159), (13, 46, -119)]
[(-3320, 15576, -5159), (13, 46, -119)]
[(-3320, 15576, -5159), (13, 46, -119)]
