[(-14628, 1220, -7939), (-133, 388, -35)]
[(-14644, 1206, -7944), (-128, 385, -35)]
[(-14644, 1206, -7944), (-128, 385, -35)]
[(-14644, 1206, -7944), (-128, 385, -35)]
[(-14663, 1196, -7975), (-113, 393, -32)]
[(-14663, 1196, -7975), (-113, 393, -32)]
[(-14663, 1196, -7975), (-113, 393, -32)]
[(-14663, 1196, -7975), (-113, 393, -32)]
[(-14663, 1196, -7975), (-113, 393, -32)]
[(-14663, 1196, -7975), (-113, 393, -32)]
[(-14658, 1200, -8017), (-81, 386, -35)]
[(-14658, 1200, -8017), (-81, 386, -35)]
[(-14658, 1200, -8017), (-81, 386, -35)]
[(-14658, 1200, -8017), (-81, 386, -35)]
[(-14658, 1200, -8017), (-81, 386, -35)]
[(-14664, 1184, -8021), (82, 279, -41)]
[(-14664, 1184, -8021), (82, 279, -41)]
[(-14664, 1184, -8021), (82, 279, -41)]
[(-14664, 1184, -8021), (82, 279, -41)]
[(-14664, 1184, -8021), (82, 279, -41)]
[(-14664, 1184, -8021), (82, 279, -41)]
[(-14664, 1184, -8021), (82, 279, -41)]
[(-14642, 1149, -7976), (176, 115, -110)]
[(-14642, 1149, -7976), (176, 115, -110)]
[(-14642, 1149, -7976), (176, 115, -110)]
[(-14642, 1149, -7976), (176, 115, -110)]
[(-14642, 1149, -7976), (176, 115, -110)]
[(-14642, 1149, -7976), (176, 115, -110)]
[(-14642, 1149, -7976), (176, 115, -110)]
[(-14642, 1149, -7976), (176, 115, -110)]
[(-14632, 1155, -7964), (385, 413, 22)]
[(-14632, 1155, -7964), (385, 413, 22)]
[(-14632, 1155, -7964), (385, 413, 22)]
[(-14657, 1092, -7904), (161, 358, 157)]
[(-14657, 1092, -7904), (161, 358, 157)]
[(-14657, 1092, -7904), (161, 358, 157)]
[(-14657, 1092, -7904), (161, 358, 157)]
[(-14657, 1092, -7904), (161, 358, 157)]
[(-14657, 1092, -7904), (161, 358, 157)]
[(-14657, 1092, -7904), (161, 358, 157)]
[(-14581, 1192, -7864), (-370, 263, 178)]
[(-14581, 1192, -7864), (-370, 263, 178)]
[(-14581, 1192, -7864), (-370, 263, 178)]
[(-14581, 1192, -7864), (-370, 263, 178)]
[(-14581, 1192, -7864), (-370, 263, 178)]
[(-14581, 1192, -7864), (-370, 263, 178)]
[(-14581, 1328, -7853), (-634, 235, 131)]
[(-14581, 1328, -7853), (-634, 235, 131)]
[(-14581, 1328, -7853), (-634, 235, 131)]
[(-14581, 1328, -7853), (-634, 235, 131)]
[(-14581, 1328, -7853), (-634, 235, 131)]
[(-14604, 1470, -7805), (-631, 345, -18)]
[(-14604, 1470, -7805), (-631, 345, -18)]
[(-14604, 1470, -7805), (-631, 345, -18)]
[(-14604, 1470, -7805), (-631, 345, -18)]
[(-14604, 1470, -7805), (-631, 345, -18)]
[(-14604, 1470, -7805), (-631, 345, -18)]
[(-14604, 1470, -7805), (-631, 345, -18)]
[(-14592, 1564, -7782), (-315, 403, -155)]
[(-14592, 1564, -7782), (-315, 403, -155)]
[(-14592, 1564, -7782), (-315, 403, -155)]
[(-14592, 1564, -7782), (-315, 403, -155)]
[(-14592, 1564, -7782), (-315, 403, -155)]
[(-14592, 1564, -7782), (-315, 403, -155)]
[(-14592, 1564, -7782), (-315, 403, -155)]
[(-14592, 1564, -7782), (-315, 403, -155)]
[(-14606, 1577, -7804), (-109, 512, -284)]
[(-14606, 1577, -7804), (-109, 512, -284)]
[(-14606, 1577, -7804), (-109, 512, -284)]
[(-14659, 1478, -7823), (-113, 434, -267)]
[(-14659, 1478, -7823), (-113, 434, -267)]
[(-14659, 1478, -7823), (-113, 434, -267)]
[(-14659, 1478, -7823), (-113, 434, -267)]
[(-14659, 1478, -7823), (-113, 434, -267)]
[(-14659, 1478, -7823), (-113, 434, -267)]
[(-14659, 1478, -7823), (-113, 434, -267)]
[(-14660, 1405, -7814), (-133, 465, -250)]
[(-14660, 1405, -7814), (-133, 465, -250)]
[(-14660, 1405, -7814), (-133, 465, -250)]
[(-14660, 1405, -7814), (-133, 465, -250)]
[(-14660, 1405, -7814), (-133, 465, -250)]
[(-14660, 1405, -7814), (-133, 465, -250)]
[(-14681, 1372, -7825), (-131, 465, -202)]
[(-14681, 1372, -7825), (-131, 465, -202)]
[(-14681, 1372, -7825), (-131, 465, -202)]
[(-14681, 1372, -7825), (-131, 465, -202)]
[(-14689, 1367, -7827), (-124, 475, -171)]
[(-14689, 1367, -7827), (-124, 475, -171)]
[(-14689, 1367, -7827), (-124, 475, -171)]
[(-14689, 1367, -7827), (-124, 475, -171)]
[(-14689, 1367, -7827), (-124, 475, -171)]
[(-14689, 1367, -7827), (-124, 475, -171)]
[(-14689, 1367, -7827), (-124, 475, -171)]
[(-14681, 1382, -7828), (-135, 495, -135)]
[(-14681, 1382, -7828), (-135, 495, -135)]
[(-14681, 1382, -7828), (-135, 495, -135)]
[(-14681, 1382, -7828), (-135, 495, -135)]
[(-14681, 1382, -7828), (-135, 495, -135)]
[(-14681, 1382, -7828), (-135, 495, -135)]
[(-14672, 1365, -7850), (-96, 472, -114)]
[(-14672, 1365, -7850), (-96, 472, -114)]
[(-14672, 1365, -7850), (-96, 472, -114)]
[(-14672, 1365, -7850), (-96, 472, -114)]
[(-14672, 1365, -7850), (-96, 472, -114)]
[(-14652, 1336, -7881), (-68, 438, -139)]
[(-14652, 1336, -7881), (-68, 438, -139)]
[(-14652, 1336, -7881), (-68, 438, -139)]
[(-14652, 1336, -7881), (-68, 438, -139)]
