[(-15672, 2575, -3233), (-116, 167, -11)]
[(-15680, 2551, -3238), (-133, 163, 33)]
[(-15680, 2551, -3238), (-133, 163, 33)]
[(-15680, 2551, -3238), (-133, 163, 33)]
[(-15680, 2551, -3238), (-133, 163, 33)]
[(-15680, 2551, -3238), (-133, 163, 33)]
[(-15720, 2548, -3199), (-191, 187, 101)]
[(-15720, 2548, -3199), (-191, 187, 101)]
[(-15720, 2548, -3199), (-191, 187, 101)]
[(-15720, 2548, -3199), (-191, 187, 101)]
[(-15720, 2548, -3199), (-191, 187, 101)]
[(-15720, 2548, -3199), (-191, 187, 101)]
[(-15720, 2548, -3199), (-191, 187, 101)]
[(-15720, 2548, -3199), (-191, 187, 101)]
[(-15703, 2577, -3224), (-210, 205, 147)]
[(-15703, 2577, -3224), (-210, 205, 147)]
[(-15703, 2577, -3224), (-210, 205, 147)]
[(-15703, 2577, -3224), (-210, 205, 147)]
[(-15703, 2577, -3224), (-210, 205, 147)]
[(-15703, 2583, -3204), (-180, 229, 160)]
[(-15703, 2583, -3204), (-180, 229, 160)]
[(-15703, 2583, -3204), (-180, 229, 160)]
[(-15703, 2583, -3204), (-180, 229, 160)]
[(-15703, 2583, -3204), (-180, 229, 160)]
[(-15690, 2620, -3232), (-117, 199, 118)]
[(-15690, 2620, -3232), (-117, 199, 118)]
[(-15690, 2620, -3232), (-117, 199, 118)]
[(-15690, 2620, -3232), (-117, 199, 118)]
[(-15690, 2620, -3232), (-117, 199, 118)]
[(-15690, 2620, -3232), (-117, 199, 118)]
[(-15690, 2620, -3232), (-117, 199, 118)]
[(-15690, 2620, -3232), (-117, 199, 118)]
[(-15617, 2598, -3267), (-224, 94, 83)]
[(-15617, 2598, -3267), (-224, 94, 83)]
[(-15617, 2598, -3267), (-224, 94, 83)]
[(-15617, 2598, -3267), (-224, 94, 83)]
[(-15617, 2598, -3267), (-224, 94, 83)]
[(-15597, 2588, -3238), (-204, 110, 43)]
[(-15597, 2588, -3238), (-204, 110, 43)]
[(-15597, 2588, -3238), (-204, 110, 43)]
[(-15597, 2588, -3238), (-204, 110, 43)]
[(-15597, 2588, -3238), (-204, 110, 43)]
[(-15607, 2596, -3252), (-172, 199, 62)]
[(-15607, 2596, -3252), (-172, 199, 62)]
[(-15607, 2596, -3252), (-172, 199, 62)]
[(-15607, 2596, -3252), (-172, 199, 62)]
[(-15607, 2596, -3252), (-172, 199, 62)]
[(-15607, 2596, -3252), (-172, 199, 62)]
[(-15607, 2596, -3252), (-172, 199, 62)]
[(-15607, 2596, -3252), (-172, 199, 62)]
[(-15612, 2657, -3273), (-153, 214, 60)]
[(-15612, 2657, -3273), (-153, 214, 60)]
[(-15612, 2657, -3273), (-153, 214, 60)]
[(-15612, 2657, -3273), (-153, 214, 60)]
[(-15612, 2657, -3273), (-153, 214, 60)]
[(-15621, 2636, -3273), (-56, 193, 22)]
[(-15621, 2636, -3273), (-56, 193, 22)]
[(-15621, 2636, -3273), (-56, 193, 22)]
[(-15621, 2636, -3273), (-56, 193, 22)]
[(-15621, 2636, -3273), (-56, 193, 22)]
[(-15610, 2636, -3265), (-39, 194, 19)]
[(-15610, 2636, -3265), (-39, 194, 19)]
[(-15610, 2636, -3265), (-39, 194, 19)]
[(-15610, 2636, -3265), (-39, 194, 19)]
[(-15610, 2636, -3265), (-39, 194, 19)]
[(-15610, 2636, -3265), (-39, 194, 19)]
[(-15610, 2636, -3265), (-39, 194, 19)]
[(-15610, 2636, -3265), (-39, 194, 19)]
[(-15616, 2599, -3292), (-34, 180, 35)]
[(-15616, 2599, -3292), (-34, 180, 35)]
