[(-15674, 2432, -3121), (-67, 241, -44)]
[(-15662, 2447, -3144), (-57, 164, -1)]
[(-15662, 2447, -3144), (-57, 164, -1)]
[(-15662, 2447, -3144), (-57, 164, -1)]
[(-15651, 2432, -3132), (-115, 137, 9)]
[(-15651, 2432, -3132), (-115, 137, 9)]
[(-15651, 2432, -3132), (-115, 137, 9)]
[(-15651, 2432, -3132), (-115, 137, 9)]
[(-15651, 2432, -3132), (-115, 137, 9)]
[(-15705, 2421, -3099), (-72, 163, 34)]
[(-15705, 2421, -3099), (-72, 163, 34)]
[(-15705, 2421, -3099), (-72, 163, 34)]
[(-15705, 2421, -3099), (-72, 163, 34)]
[(-15705, 2421, -3099), (-72, 163, 34)]
[(-15705, 2421, -3099), (-72, 163, 34)]
[(-15705, 2421, -3099), (-72, 163, 34)]
[(-15725, 2416, -3102), (-107, 243, 48)]
[(-15725, 2416, -3102), (-107, 243, 48)]
[(-15725, 2416, -3102), (-107, 243, 48)]
[(-15725, 2416, -3102), (-107, 243, 48)]
[(-15725, 2416, -3102), (-107, 243, 48)]
[(-15725, 2416, -3102), (-107, 243, 48)]
[(-15716, 2439, -3091), (-133, 239, 73)]
[(-15716, 2439, -3091), (-133, 239, 73)]
[(-15716, 2439, -3091), (-133, 239, 73)]
[(-15716, 2439, -3091), (-133, 239, 73)]
[(-15716, 2439, -3091), (-133, 239, 73)]
[(-15700, 2422, -3098), (-144, 201, 86)]
[(-15700, 2422, -3098), (-144, 201, 86)]
[(-15700, 2422, -3098), (-144, 201, 86)]
[(-15700, 2422, -3098), (-144, 201, 86)]
[(-15700, 2422, -3098), (-144, 201, 86)]
[(-15700, 2422, -3098), (-144, 201, 86)]
[(-15700, 2422, -3098), (-144, 201, 86)]
[(-15712, 2424, -3084), (-127, 186, 59)]
[(-15712, 2424, -3084), (-127, 186, 59)]
[(-15712, 2424, -3084), (-127, 186, 59)]
[(-15712, 2424, -3084), (-127, 186, 59)]
[(-15712, 2424, -3084), (-127, 186, 59)]
[(-15712, 2424, -3084), (-127, 186, 59)]
[(-15702, 2436, -3083), (-136, 206, 25)]
[(-15702, 2436, -3083), (-136, 206, 25)]
[(-15702, 2436, -3083), (-136, 206, 25)]
[(-15702, 2436, -3083), (-136, 206, 25)]
[(-15702, 2436, -3083), (-136, 206, 25)]
[(-15708, 2428, -3091), (-163, 234, 2)]
[(-15708, 2428, -3091), (-163, 234, 2)]
[(-15708, 2428, -3091), (-163, 234, 2)]
[(-15708, 2428, -3091), (-163, 234, 2)]
[(-15708, 2428, -3091), (-163, 234, 2)]
[(-15708, 2428, -3091), (-163, 234, 2)]
[(-15708, 2428, -3091), (-163, 234, 2)]
[(-15708, 2416, -3089), (-161, 225, 2)]
[(-15708, 2416, -3089), (-161, 225, 2)]
[(-15708, 2416, -3089), (-161, 225, 2)]
[(-15708, 2416, -3089), (-161, 225, 2)]
[(-15708, 2416, -3089), (-161, 225, 2)]
[(-15708, 2416, -3089), (-161, 225, 2)]
[(-15699, 2397, -3100), (-164, 216, 37)]
[(-15699, 2397, -3100), (-164, 216, 37)]
[(-15699, 2397, -3100), (-164, 216, 37)]
[(-15699, 2397, -3100), (-164, 216, 37)]
[(-15699, 2397, -3100), (-164, 216, 37)]
[(-15699, 2397, -3100), (-164, 216, 37)]
[(-15699, 2397, -3100), (-164, 216, 37)]
[(-15688, 2408, -3090), (-136, 178, 30)]
[(-15688, 2408, -3090), (-136, 178, 30)]
[(-15688, 2408, -3090), (-136, 178, 30)]
[(-15688, 2408, -3090), (-136, 178, 30)]
[(-15688, 2408, -3090), (-136, 178, 30)]
[(-15665, 2407, -3067), (-109, 202, -3)]
[(-15665, 2407, -3067), (-109, 202, -3)]
[(-15665, 2407, -3067), (-109, 202, -3)]
[(-15665, 2407, -3067), (-109, 202, -3)]
[(-15665, 2407, -3067), (-109, 202, -3)]
[(-15665, 2407, -3067), (-109, 202, -3)]
[(-15694, 2396, -3099), (-111, 234, 6)]
[(-15694, 2396, -3099), (-111, 234, 6)]
[(-15694, 2396, -3099), (-111, 234, 6)]
[(-15694, 2396, -3099), (-111, 234, 6)]
[(-15694, 2396, -3099), (-111, 234, 6)]
[(-15708, 2393, -3094), (-168, 253, 35)]
[(-15708, 2393, -3094), (-168, 253, 35)]
[(-15708, 2393, -3094), (-168, 253, 35)]
[(-15708, 2393, -3094), (-168, 253, 35)]
[(-15708, 2393, -3094), (-168, 253, 35)]
[(-15708, 2393, -3094), (-168, 253, 35)]
[(-15708, 2393, -3094), (-168, 253, 35)]
[(-15682, 2396, -3086), (-171, 237, 43)]
[(-15682, 2396, -3086), (-171, 237, 43)]
[(-15682, 2396, -3086), (-171, 237, 43)]
[(-15682, 2396, -3086), (-171, 237, 43)]
[(-15682, 2396, -3086), (-171, 237, 43)]
[(-15682, 2396, -3086), (-171, 237, 43)]
[(-15700, 2408, -3087), (-113, 178, 19)]
[(-15700, 2408, -3087), (-113, 178, 19)]
[(-15700, 2408, -3087), (-113, 178, 19)]
[(-15700, 2408, -3087), (-113, 178, 19)]
[(-15700, 2408, -3087), (-113, 178, 19)]
[(-15724, 2408, -3091), (-121, 183, 36)]
[(-15724, 2408, -3091), (-121, 183, 36)]
[(-15724, 2408, -3091), (-121, 183, 36)]
[(-15724, 2408, -3091), (-121, 183, 36)]
[(-15724, 2408, -3091), (-121, 183, 36)]
[(-15724, 2408, -3091), (-121, 183, 36)]
[(-15724, 2408, -3091), (-121, 183, 36)]
[(-15721, 2430, -3088), (-120, 199, 80)]
[(-15721, 2430, -3088), (-120, 199, 80)]
[(-15721, 2430, -3088), (-120, 199, 80)]
[(-15721, 2430, -3088), (-120, 199, 80)]
[(-15721, 2430, -3088), (-120, 199, 80)]
[(-15721, 2430, -3088), (-120, 199, 80)]
[(-15699, 2440, -3068), (-135, 263, 91)]
[(-15699, 2440, -3068), (-135, 263, 91)]
[(-15699, 2440, -3068), (-135, 263, 91)]
[(-15699, 2440, -3068), (-135, 263, 91)]
[(-15699, 2440, -3068), (-135, 263, 91)]
[(-15688, 2450, -3118), (-117, 261, 47)]
[(-15688, 2450, -3118), (-117, 261, 47)]
[(-15688, 2450, -3118), (-117, 261, 47)]
[(-15688, 2450, -3118), (-117, 261, 47)]
[(-15688, 2450, -3118), (-117, 261, 47)]
[(-15688, 2450, -3118), (-117, 261, 47)]
[(-15688, 2450, -3118), (-117, 261, 47)]
[(-15688, 2432, -3130), (-97, 218, 4)]
[(-15688, 2432, -3130), (-97, 218, 4)]
[(-15688, 2432, -3130), (-97, 218, 4)]
[(-15688, 2432, -3130), (-97, 218, 4)]
[(-15688, 2432, -3130), (-97, 218, 4)]
[(-15688, 2432, -3130), (-97, 218, 4)]
[(-15684, 2450, -3112), (-92, 206, -16)]
[(-15684, 2450, -3112), (-92, 206, -16)]
[(-15684, 2450, -3112), (-92, 206, -16)]
[(-15684, 2450, -3112), (-92, 206, -16)]
[(-15684, 2450, -3112), (-92, 206, -16)]
[(-15723, 2462, -3108), (-42, 158, 11)]
[(-15723, 2462, -3108), (-42, 158, 11)]
[(-15723, 2462, -3108), (-42, 158, 11)]
[(-15723, 2462, -3108), (-42, 158, 11)]
[(-15723, 2462, -3108), (-42, 158, 11)]
[(-15723, 2462, -3108), (-42, 158, 11)]
[(-15723, 2462, -3108), (-42, 158, 11)]
[(-15694, 2450, -3106), (-103, 178, 26)]
[(-15694, 2450, -3106), (-103, 178, 26)]
[(-15694, 2450, -3106), (-103, 178, 26)]
[(-15694, 2450, -3106), (-103, 178, 26)]
[(-15694, 2450, -3106), (-103, 178, 26)]
[(-15694, 2450, -3106), (-103, 178, 26)]
[(-15670, 2410, -3106), (-117, 194, 20)]
[(-15670, 2410, -3106), (-117, 194, 20)]
[(-15670, 2410, -3106), (-117, 194, 20)]
[(-15670, 2410, -3106), (-117, 194, 20)]
[(-15670, 2410, -3106), (-117, 194, 20)]
[(-15676, 2400, -3089), (-111, 202, 10)]
[(-15676, 2400, -3089), (-111, 202, 10)]
[(-15676, 2400, -3089), (-111, 202, 10)]
[(-15676, 2400, -3089), (-111, 202, 10)]
[(-15676, 2400, -3089), (-111, 202, 10)]
[(-15676, 2400, -3089), (-111, 202, 10)]
[(-15692, 2411, -3115), (-94, 199, 20)]
[(-15692, 2411, -3115), (-94, 199, 20)]
[(-15692, 2411, -3115), (-94, 199, 20)]
[(-15692, 2411, -3115), (-94, 199, 20)]
[(-15692, 2411, -3115), (-94, 199, 20)]
[(-15692, 2411, -3115), (-94, 199, 20)]
[(-15692, 2411, -3115), (-94, 199, 20)]
[(-15689, 2401, -3133), (-75, 197, 22)]
[(-15689, 2401, -3133), (-75, 197, 22)]
[(-15689, 2401, -3133), (-75, 197, 22)]
[(-15689, 2401, -3133), (-75, 197, 22)]
[(-15689, 2401, -3133), (-75, 197, 22)]
[(-15690, 2380, -3124), (-138, 191, 3)]
[(-15690, 2380, -3124), (-138, 191, 3)]
[(-15690, 2380, -3124), (-138, 191, 3)]
