[(-6702, 14198, -5712), (-30, 29, 8)]
[(-6702, 14198, -5712), (-30, 29, 8)]
[(-6676, 14191, -5682), (-29, 27, 2)]
[(-6676, 14191, -5682), (-29, 27, 2)]
[(-6676, 14191, -5682), (-29, 27, 2)]
[(-6676, 14191, -5682), (-29, 27, 2)]
[(-6676, 14191, -5682), (-29, 27, 2)]
[(-6652, 14236, -5676), (-29, 27, -8)]
[(-6652, 14236, -5676), (-29, 27, -8)]
[(-6652, 14236, -5676), (-29, 27, -8)]
[(-6652, 14236, -5676), (-29, 27, -8)]
[(-6652, 14236, -5676), (-29, 27, -8)]
[(-6652, 14236, -5676), (-29, 27, -8)]
[(-6689, 14232, -5644), (-36, 30, -20)]
