[(-15336, 3514, -4560), (-185, 468, 10)]
[(-15348, 3537, -4562), (-188, 429, 23)]
[(-15348, 3537, -4562), (-188, 429, 23)]
[(-15356, 3528, -4562), (-169, 407, 15)]
[(-15356, 3528, -4562), (-169, 407, 15)]
[(-15356, 3528, -4562), (-169, 407, 15)]
[(-15356, 3528, -4562), (-169, 407, 15)]
[(-15356, 3528, -4562), (-169, 407, 15)]
[(-15331, 3534, -4541), (-113, 377, 4)]
[(-15331, 3534, -4541), (-113, 377, 4)]
[(-15331, 3534, -4541), (-113, 377, 4)]
[(-15331, 3534, -4541), (-113, 377, 4)]
[(-15331, 3534, -4541), (-113, 377, 4)]
[(-15331, 3534, -4541), (-113, 377, 4)]
[(-15331, 3534, -4541), (-113, 377, 4)]
[(-15331, 3534, -4541), (-113, 377, 4)]
[(-15305, 3525, -4535), (-48, 313, -4)]
[(-15305, 3525, -4535), (-48, 313, -4)]
[(-15305, 3525, -4535), (-48, 313, -4)]
[(-15305, 3525, -4535), (-48, 313, -4)]
[(-15305, 3525, -4535), (-48, 313, -4)]
[(-15307, 3516, -4513), (-63, 297, 2)]
[(-15307, 3516, -4513), (-63, 297, 2)]
[(-15307, 3516, -4513), (-63, 297, 2)]
[(-15307, 3516, -4513), (-63, 297, 2)]
[(-15307, 3516, -4513), (-63, 297, 2)]
[(-15302, 3512, -4501), (20, 258, 23)]
[(-15302, 3512, -4501), (20, 258, 23)]
[(-15302, 3512, -4501), (20, 258, 23)]
[(-15302, 3512, -4501), (20, 258, 23)]
[(-15302, 3512, -4501), (20, 258, 23)]
[(-15302, 3512, -4501), (20, 258, 23)]
[(-15282, 3505, -4508), (21, 275, -12)]
[(-15282, 3505, -4508), (21, 275, -12)]
[(-15282, 3505, -4508), (21, 275, -12)]
[(-15282, 3505, -4508), (21, 275, -12)]
[(-15282, 3505, -4508), (21, 275, -12)]
[(-15282, 3505, -4508), (21, 275, -12)]
[(-15282, 3505, -4508), (21, 275, -12)]
[(-15304, 3520, -4497), (-28, 272, -5)]
[(-15304, 3520, -4497), (-28, 272, -5)]
[(-15304, 3520, -4497), (-28, 272, -5)]
[(-15304, 3520, -4497), (-28, 272, -5)]
[(-15304, 3520, -4497), (-28, 272, -5)]
[(-15319, 3521, -4488), (-34, 298, 11)]
[(-15319, 3521, -4488), (-34, 298, 11)]
[(-15319, 3521, -4488), (-34, 298, 11)]
[(-15319, 3521, -4488), (-34, 298, 11)]
[(-15319, 3521, -4488), (-34, 298, 11)]
[(-15319, 3521, -4488), (-34, 298, 11)]
[(-15327, 3544, -4480), (-57, 315, -8)]
[(-15327, 3544, -4480), (-57, 315, -8)]
[(-15327, 3544, -4480), (-57, 315, -8)]
[(-15327, 3544, -4480), (-57, 315, -8)]
[(-15327, 3544, -4480), (-57, 315, -8)]
[(-15327, 3544, -4480), (-57, 315, -8)]
[(-15327, 3544, -4480), (-57, 315, -8)]
[(-15324, 3548, -4471), (-54, 328, -15)]
[(-15324, 3548, -4471), (-54, 328, -15)]
[(-15324, 3548, -4471), (-54, 328, -15)]
[(-15324, 3548, -4471), (-54, 328, -15)]
[(-15324, 3548, -4471), (-54, 328, -15)]
[(-15326, 3540, -4490), (-95, 335, -26)]
[(-15326, 3540, -4490), (-95, 335, -26)]
[(-15326, 3540, -4490), (-95, 335, -26)]
[(-15326, 3540, -4490), (-95, 335, -26)]
