[(-15660, 2442, -3041), (-143, 126, 70)]
[(-15660, 2442, -3041), (-143, 126, 70)]
[(-15673, 2454, -3004), (-155, 120, 39)]
[(-15673, 2454, -3004), (-155, 120, 39)]
[(-15673, 2454, -3004), (-155, 120, 39)]
[(-15673, 2454, -3004), (-155, 120, 39)]
[(-15673, 2454, -3004), (-155, 120, 39)]
[(-15674, 2427, -2969), (-134, 141, 55)]
[(-15674, 2427, -2969), (-134, 141, 55)]
[(-15674, 2427, -2969), (-134, 141, 55)]
[(-15674, 2427, -2969), (-134, 141, 55)]
[(-15674, 2427, -2969), (-134, 141, 55)]
[(-15664, 2434, -2952), (-137, 142, 65)]
[(-15664, 2434, -2952), (-137, 142, 65)]
[(-15664, 2434, -2952), (-137, 142, 65)]
[(-15664, 2434, -2952), (-137, 142, 65)]
[(-15664, 2434, -2952), (-137, 142, 65)]
[(-15664, 2434, -2952), (-137, 142, 65)]
[(-15664, 2434, -2952), (-137, 142, 65)]
[(-15664, 2434, -2952), (-137, 142, 65)]
[(-15663, 2454, -2934), (-123, 184, 61)]
[(-15663, 2454, -2934), (-123, 184, 61)]
[(-15663, 2454, -2934), (-123, 184, 61)]
[(-15663, 2454, -2934), (-123, 184, 61)]
[(-15663, 2454, -2934), (-123, 184, 61)]
[(-15686, 2455, -2955), (-100, 214, 40)]
[(-15686, 2455, -2955), (-100, 214, 40)]
[(-15686, 2455, -2955), (-100, 214, 40)]
[(-15686, 2455, -2955), (-100, 214, 40)]
[(-15686, 2455, -2955), (-100, 214, 40)]
[(-15652, 2447, -2992), (-124, 202, 9)]
[(-15652, 2447, -2992), (-124, 202, 9)]
[(-15652, 2447, -2992), (-124, 202, 9)]
[(-15652, 2447, -2992), (-124, 202, 9)]
[(-15652, 2447, -2992), (-124, 202, 9)]
[(-15652, 2447, -2992), (-124, 202, 9)]
[(-15652, 2447, -2992), (-124, 202, 9)]
[(-15652, 2447, -2992), (-124, 202, 9)]
[(-15671, 2456, -3034), (-107, 182, 17)]
[(-15671, 2456, -3034), (-107, 182, 17)]
[(-15671, 2456, -3034), (-107, 182, 17)]
[(-15671, 2456, -3034), (-107, 182, 17)]
[(-15671, 2456, -3034), (-107, 182, 17)]
[(-15665, 2408, -3031), (-35, 106, 52)]
[(-15665, 2408, -3031), (-35, 106, 52)]
[(-15665, 2408, -3031), (-35, 106, 52)]
[(-15665, 2408, -3031), (-35, 106, 52)]
[(-15665, 2408, -3031), (-35, 106, 52)]
[(-15640, 2413, -3044), (-81, 84, 49)]
[(-15640, 2413, -3044), (-81, 84, 49)]
[(-15640, 2413, -3044), (-81, 84, 49)]
[(-15640, 2413, -3044), (-81, 84, 49)]
[(-15640, 2413, -3044), (-81, 84, 49)]
[(-15640, 2413, -3044), (-81, 84, 49)]
[(-15640, 2413, -3044), (-81, 84, 49)]
[(-15640, 2413, -3044), (-81, 84, 49)]
[(-15647, 2384, -3027), (-125, 115, 43)]
[(-15647, 2384, -3027), (-125, 115, 43)]
[(-15647, 2384, -3027), (-125, 115, 43)]
[(-15647, 2384, -3027), (-125, 115, 43)]
[(-15647, 2384, -3027), (-125, 115, 43)]
[(-15676, 2391, -2992), (-121, 155, 24)]
[(-15676, 2391, -2992), (-121, 155, 24)]
[(-15676, 2391, -2992), (-121, 155, 24)]
[(-15676, 2391, -2992), (-121, 155, 24)]
[(-15689, 2388, -2980), (-110, 200, 7)]
[(-15689, 2388, -2980), (-110, 200, 7)]
[(-15689, 2388, -2980), (-110, 200, 7)]
[(-15689, 2388, -2980), (-110, 200, 7)]
[(-15689, 2388, -2980), (-110, 200, 7)]
[(-15689, 2388, -2980), (-110, 200, 7)]
[(-15688, 2376, -3008), (-106, 208, 15)]
[(-15688, 2376, -3008), (-106, 208, 15)]
[(-15688, 2376, -3008), (-106, 208, 15)]
[(-15688, 2376, -3008), (-106, 208, 15)]
[(-15688, 2376, -3008), (-106, 208, 15)]
[(-15688, 2376, -3008), (-106, 208, 15)]
[(-15688, 2376, -3008), (-106, 208, 15)]
[(-15697, 2364, -2988), (-148, 195, 42)]
[(-15697, 2364, -2988), (-148, 195, 42)]
[(-15697, 2364, -2988), (-148, 195, 42)]
[(-15697, 2364, -2988), (-148, 195, 42)]
[(-15697, 2364, -2988), (-148, 195, 42)]
[(-15668, 2380, -2978), (-152, 214, 39)]
[(-15668, 2380, -2978), (-152, 214, 39)]
[(-15668, 2380, -2978), (-152, 214, 39)]
[(-15668, 2380, -2978), (-152, 214, 39)]
[(-15668, 2380, -2978), (-152, 214, 39)]
