[(-15033, 3148, -5572), (-668, 658, 470)]
[(-15004, 3249, -5603), (-542, 587, 373)]
[(-15004, 3249, -5603), (-542, 587, 373)]
[(-15004, 3249, -5603), (-542, 587, 373)]
[(-15004, 3249, -5603), (-542, 587, 373)]
[(-15004, 3249, -5603), (-542, 587, 373)]
[(-14935, 3348, -5623), (-485, 531, 322)]
[(-14935, 3348, -5623), (-485, 531, 322)]
[(-14935, 3348, -5623), (-485, 531, 322)]
[(-14935, 3348, -5623), (-485, 531, 322)]
[(-14935, 3348, -5623), (-485, 531, 322)]
[(-14935, 3348, -5623), (-485, 531, 322)]
[(-14890, 3401, -5649), (-356, 523, 207)]
[(-14890, 3401, -5649), (-356, 523, 207)]
[(-14890, 3401, -5649), (-356, 523, 207)]
[(-14890, 3401, -5649), (-356, 523, 207)]
[(-14890, 3401, -5649), (-356, 523, 207)]
[(-14899, 3409, -5711), (-224, 475, 176)]
[(-14899, 3409, -5711), (-224, 475, 176)]
[(-14899, 3409, -5711), (-224, 475, 176)]
[(-14899, 3409, -5711), (-224, 475, 176)]
[(-14899, 3409, -5711), (-224, 475, 176)]
[(-14899, 3409, -5711), (-224, 475, 176)]
[(-14879, 3460, -5752), (-163, 448, 157)]
[(-14879, 3460, -5752), (-163, 448, 157)]
[(-14879, 3460, -5752), (-163, 448, 157)]
[(-14879, 3460, -5752), (-163, 448, 157)]
[(-14879, 3460, -5752), (-163, 448, 157)]
[(-14879, 3460, -5752), (-163, 448, 157)]
[(-14879, 3460, -5752), (-163, 448, 157)]
[(-14879, 3460, -5752), (-163, 448, 157)]
[(-14879, 3460, -5752), (-163, 448, 157)]
[(-14874, 3525, -5752), (-429, 338, 195)]
[(-14874, 3525, -5752), (-429, 338, 195)]
[(-14874, 3525, -5752), (-429, 338, 195)]
[(-14874, 3525, -5752), (-429, 338, 195)]
[(-14874, 3525, -5752), (-429, 338, 195)]
[(-14851, 3568, -5713), (-440, 310, 160)]
[(-14851, 3568, -5713), (-440, 310, 160)]
[(-14851, 3568, -5713), (-440, 310, 160)]
[(-14851, 3568, -5713), (-440, 310, 160)]
[(-14992, 3533, -5732), (-296, 334, 87)]
[(-14992, 3533, -5732), (-296, 334, 87)]
[(-14992, 3533, -5732), (-296, 334, 87)]
[(-14992, 3533, -5732), (-296, 334, 87)]
[(-14992, 3533, -5732), (-296, 334, 87)]
[(-14992, 3533, -5732), (-296, 334, 87)]
[(-14992, 3533, -5732), (-296, 334, 87)]
[(-15052, 3437, -5743), (154, 271, 217)]
[(-15052, 3437, -5743), (154, 271, 217)]
[(-15052, 3437, -5743), (154, 271, 217)]
[(-15052, 3437, -5743), (154, 271, 217)]
[(-15052, 3437, -5743), (154, 271, 217)]
[(-15052, 3437, -5743), (154, 271, 217)]
[(-15052, 3437, -5743), (154, 271, 217)]
[(-15051, 3472, -5771), (166, 266, 205)]
[(-15051, 3472, -5771), (166, 266, 205)]
[(-15051, 3472, -5771), (166, 266, 205)]
