[(-14707, 1316, -7797), (-74, 312, -24)]
[(-14700, 1301, -7781), (-89, 296, -22)]
[(-14700, 1301, -7781), (-89, 296, -22)]
[(-14725, 1304, -7761), (-92, 265, -18)]
[(-14725, 1304, -7761), (-92, 265, -18)]
[(-14725, 1304, -7761), (-92, 265, -18)]
[(-14725, 1304, -7761), (-92, 265, -18)]
[(-14716, 1292, -7730), (-110, 272, -5)]
[(-14716, 1292, -7730), (-110, 272, -5)]
[(-14716, 1292, -7730), (-110, 272, -5)]
[(-14716, 1292, -7730), (-110, 272, -5)]
[(-14716, 1292, -7730), (-110, 272, -5)]
[(-14719, 1311, -7721), (-112, 290, -7)]
[(-14719, 1311, -7721), (-112, 290, -7)]
[(-14719, 1311, -7721), (-112, 290, -7)]
[(-14719, 1311, -7721), (-112, 290, -7)]
[(-14719, 1311, -7721), (-112, 290, -7)]
[(-14719, 1311, -7721), (-112, 290, -7)]
[(-14719, 1311, -7721), (-112, 290, -7)]
[(-14719, 1311, -7721), (-112, 290, -7)]
[(-14719, 1311, -7721), (-112, 290, -7)]
[(-14708, 1295, -7694), (-123, 286, -7)]
[(-14708, 1295, -7694), (-123, 286, -7)]
[(-14708, 1295, -7694), (-123, 286, -7)]
[(-14708, 1295, -7694), (-123, 286, -7)]
[(-14706, 1308, -7700), (-131, 298, -14)]
[(-14706, 1308, -7700), (-131, 298, -14)]
[(-14706, 1308, -7700), (-131, 298, -14)]
[(-14706, 1308, -7700), (-131, 298, -14)]
[(-14706, 1308, -7700), (-131, 298, -14)]
[(-14692, 1326, -7690), (-81, 303, -4)]
[(-14692, 1326, -7690), (-81, 303, -4)]
[(-14692, 1326, -7690), (-81, 303, -4)]
[(-14692, 1326, -7690), (-81, 303, -4)]
[(-14692, 1326, -7690), (-81, 303, -4)]
[(-14692, 1326, -7690), (-81, 303, -4)]
[(-14692, 1326, -7690), (-81, 303, -4)]
[(-14692, 1326, -7690), (-81, 303, -4)]
[(-14699, 1325, -7692), (2, 301, -1)]
[(-14699, 1325, -7692), (2, 301, -1)]
[(-14699, 1325, -7692), (2, 301, -1)]
[(-14699, 1325, -7692), (2, 301, -1)]
[(-14699, 1325, -7692), (2, 301, -1)]
[(-14699, 1325, -7692), (2, 301, -1)]
[(-14699, 1325, -7692), (2, 301, -1)]
[(-14699, 1325, -7692), (2, 301, -1)]
[(-14699, 1325, -7692), (2, 301, -1)]
[(-14734, 1348, -7658), (42, 257, 50)]
[(-14734, 1348, -7658), (42, 257, 50)]
[(-14730, 1329, -7667), (259, 152, 21)]
[(-14730, 1329, -7667), (259, 152, 21)]
[(-14730, 1329, -7667), (259, 152, 21)]
[(-14730, 1329, -7667), (259, 152, 21)]
[(-14730, 1329, -7667), (259, 152, 21)]
[(-14730, 1329, -7667), (259, 152, 21)]
[(-14730, 1329, -7667), (259, 152, 21)]
[(-14722, 1302, -7682), (-22, 242, 24)]
[(-14722, 1302, -7682), (-22, 242, 24)]
[(-14722, 1302, -7682), (-22, 242, 24)]
[(-14722, 1302, -7682), (-22, 242, 24)]
[(-14722, 1302, -7682), (-22, 242, 24)]
[(-14722, 1302, -7682), (-22, 242, 24)]
[(-14722, 1302, -7682), (-22, 242, 24)]
[(-14704, 1276, -7693), (-72, 249, 0)]
[(-14704, 1276, -7693), (-72, 249, 0)]
[(-14704, 1276, -7693), (-72, 249, 0)]
[(-14699, 1267, -7727), (-135, 255, -21)]
[(-14699, 1267, -7727), (-135, 255, -21)]
[(-14699, 1267, -7727), (-135, 255, -21)]
[(-14699, 1267, -7727), (-135, 255, -21)]
[(-14699, 1267, -7727), (-135, 255, -21)]
[(-14699, 1267, -7727), (-135, 255, -21)]
[(-14699, 1267, -7727), (-135, 255, -21)]
[(-14699, 1267, -7727), (-135, 255, -21)]
[(-14698, 1255, -7752), (-141, 277, -11)]
[(-14698, 1255, -7752), (-141, 277, -11)]
[(-14698, 1255, -7752), (-141, 277, -11)]
[(-14698, 1255, -7752), (-141, 277, -11)]
[(-14698, 1255, -7752), (-141, 277, -11)]
[(-14708, 1245, -7727), (-19, 311, -8)]
[(-14708, 1245, -7727), (-19, 311, -8)]
[(-14708, 1245, -7727), (-19, 311, -8)]
[(-14708, 1245, -7727), (-19, 311, -8)]
[(-14708, 1245, -7727), (-19, 311, -8)]
[(-14706, 1248, -7707), (-87, 364, -20)]
[(-14706, 1248, -7707), (-87, 364, -20)]
[(-14706, 1248, -7707), (-87, 364, -20)]
[(-14706, 1248, -7707), (-87, 364, -20)]
[(-14706, 1248, -7707), (-87, 364, -20)]
[(-14706, 1248, -7707), (-87, 364, -20)]
[(-14706, 1248, -7707), (-87, 364, -20)]
[(-14706, 1248, -7707), (-87, 364, -20)]
[(-14706, 1248, -7707), (-87, 364, -20)]
