[(-8767, 13040, -5473), (-22, 77, -9)]
[(-8767, 13040, -5473), (-22, 77, -9)]
[(-8808, 13024, -5456), (-43, 94, -23)]
[(-8808, 13024, -5456), (-43, 94, -23)]
[(-8808, 13024, -5456), (-43, 94, -23)]
[(-8808, 13024, -5456), (-43, 94, -23)]
[(-8808, 13024, -5456), (-43, 94, -23)]
[(-8805, 13032, -5426), (-48, 103, -25)]
[(-8805, 13032, -5426), (-48, 103, -25)]
[(-8805, 13032, -5426), (-48, 103, -25)]
[(-8805, 13032, -5426), (-48, 103, -25)]
[(-8805, 13032, -5426), (-48, 103, -25)]
[(-8805, 13032, -5426), (-48, 103, -25)]
[(-8805, 13032, -5426), (-48, 103, -25)]
[(-8776, 13035, -5364), (-64, 138, -40)]
[(-8776, 13035, -5364), (-64, 138, -40)]
[(-8776, 13035, -5364), (-64, 138, -40)]
[(-8776, 13035, -5364), (-64, 138, -40)]
[(-8776, 13035, -5364), (-64, 138, -40)]
[(-8776, 13035, -5364), (-64, 138, -40)]
