[(-14472, 2903, -7281), (-320, 235, 121)]
[(-14461, 2966, -7267), (-251, 293, -27)]
[(-14461, 2966, -7267), (-251, 293, -27)]
[(-14461, 2966, -7267), (-251, 293, -27)]
[(-14461, 2966, -7267), (-251, 293, -27)]
[(-14461, 2966, -7267), (-251, 293, -27)]
[(-14461, 2966, -7267), (-251, 293, -27)]
[(-14461, 2966, -7267), (-251, 293, -27)]
[(-14488, 3019, -7222), (-197, 258, 209)]
[(-14488, 3019, -7222), (-197, 258, 209)]
[(-14488, 3019, -7222), (-197, 258, 209)]
[(-14488, 3019, -7222), (-197, 258, 209)]
[(-14488, 3019, -7222), (-197, 258, 209)]
[(-14476, 3058, -7195), (-209, 263, 148)]
[(-14476, 3058, -7195), (-209, 263, 148)]
[(-14476, 3058, -7195), (-209, 263, 148)]
[(-14476, 3058, -7195), (-209, 263, 148)]
[(-14476, 3058, -7195), (-209, 263, 148)]
[(-14476, 3058, -7195), (-209, 263, 148)]
[(-14432, 3072, -7198), (-216, 259, 152)]
[(-14432, 3072, -7198), (-216, 259, 152)]
[(-14432, 3072, -7198), (-216, 259, 152)]
[(-14432, 3072, -7198), (-216, 259, 152)]
[(-14432, 3072, -7198), (-216, 259, 152)]
[(-14432, 3072, -7198), (-216, 259, 152)]
[(-14432, 3072, -7198), (-216, 259, 152)]
[(-14432, 3072, -7198), (-216, 259, 152)]
[(-14432, 3072, -7198), (-216, 259, 152)]
[(-14442, 3092, -7193), (-198, 261, 99)]
[(-14442, 3092, -7193), (-198, 261, 99)]
[(-14442, 3092, -7193), (-198, 261, 99)]
[(-14422, 3122, -7176), (-280, 129, 147)]
[(-14422, 3122, -7176), (-280, 129, 147)]
[(-14422, 3122, -7176), (-280, 129, 147)]
[(-14422, 3122, -7176), (-280, 129, 147)]
[(-14422, 3122, -7176), (-280, 129, 147)]
[(-14422, 3122, -7176), (-280, 129, 147)]
[(-14450, 3145, -7153), (-294, 84, 30)]
[(-14450, 3145, -7153), (-294, 84, 30)]
[(-14450, 3145, -7153), (-294, 84, 30)]
[(-14450, 3145, -7153), (-294, 84, 30)]
[(-14450, 3145, -7153), (-294, 84, 30)]
[(-14450, 3145, -7153), (-294, 84, 30)]
[(-14450, 3145, -7153), (-294, 84, 30)]
[(-14450, 3145, -7153), (-294, 84, 30)]
[(-14450, 3145, -7153), (-294, 84, 30)]
[(-14470, 3144, -7117), (-238, 98, 74)]
[(-14470, 3144, -7117), (-238, 98, 74)]
[(-14470, 3144, -7117), (-238, 98, 74)]
[(-14470, 3144, -7117), (-238, 98, 74)]
[(-14470, 3144, -7117), (-238, 98, 74)]
[(-14519, 3176, -7092), (-231, 88, 68)]
[(-14519, 3176, -7092), (-231, 88, 68)]
[(-14519, 3176, -7092), (-231, 88, 68)]
[(-14519, 3176, -7092), (-231, 88, 68)]
[(-14487, 3179, -7081), (-204, 100, 68)]
[(-14487, 3179, -7081), (-204, 100, 68)]
[(-14487, 3179, -7081), (-204, 100, 68)]
[(-14487, 3179, -7081), (-204, 100, 68)]
[(-14487, 3179, -7081), (-204, 100, 68)]
[(-14487, 3179, -7081), (-204, 100, 68)]
[(-14487, 3179, -7081), (-204, 100, 68)]
[(-14509, 3143, -7070), (-220, 92, 49)]
[(-14509, 3143, -7070), (-220, 92, 49)]
[(-14509, 3143, -7070), (-220, 92, 49)]
[(-14509, 3143, -7070), (-220, 92, 49)]
[(-14509, 3143, -7070), (-220, 92, 49)]
[(-14488, 3115, -7063), (-168, 35, 124)]
[(-14488, 3115, -7063), (-168, 35, 124)]
[(-14488, 3115, -7063), (-168, 35, 124)]
[(-14488, 3115, -7063), (-168, 35, 124)]
[(-14488, 3115, -7063), (-168, 35, 124)]
[(-14488, 3115, -7063), (-168, 35, 124)]
[(-14460, 3141, -7072), (-110, 67, 97)]
[(-14460, 3141, -7072), (-110, 67, 97)]
[(-14460, 3141, -7072), (-110, 67, 97)]
[(-14460, 3141, -7072), (-110, 67, 97)]
[(-14460, 3141, -7072), (-110, 67, 97)]
[(-14460, 3141, -7072), (-110, 67, 97)]
[(-14460, 3141, -7072), (-110, 67, 97)]
[(-14460, 3141, -7072), (-110, 67, 97)]
[(-14460, 3141, -7072), (-110, 67, 97)]
[(-14437, 3154, -7052), (-105, 111, 106)]
[(-14437, 3154, -7052), (-105, 111, 106)]
[(-14428, 3149, -7032), (-129, 157, 132)]
[(-14428, 3149, -7032), (-129, 157, 132)]
[(-14428, 3149, -7032), (-129, 157, 132)]
[(-14428, 3149, -7032), (-129, 157, 132)]
[(-14428, 3149, -7032), (-129, 157, 132)]
[(-14428, 3149, -7032), (-129, 157, 132)]
[(-14401, 3224, -7069), (-367, 282, 139)]
[(-14401, 3224, -7069), (-367, 282, 139)]
[(-14401, 3224, -7069), (-367, 282, 139)]
[(-14401, 3224, -7069), (-367, 282, 139)]
[(-14401, 3224, -7069), (-367, 282, 139)]
[(-14401, 3224, -7069), (-367, 282, 139)]
[(-14401, 3224, -7069), (-367, 282, 139)]
[(-14407, 3271, -7085), (-488, 421, 166)]
[(-14407, 3271, -7085), (-488, 421, 166)]
[(-14407, 3271, -7085), (-488, 421, 166)]
[(-14407, 3271, -7085), (-488, 421, 166)]
[(-14407, 3271, -7085), (-488, 421, 166)]
[(-14407, 3271, -7085), (-488, 421, 166)]
[(-14407, 3271, -7085), (-488, 421, 166)]
[(-14331, 3307, -7143), (-271, 449, 238)]
[(-14331, 3307, -7143), (-271, 449, 238)]
