[(-12977, -1724, -10896), (-172, 457, 0)]
[(-12977, -1724, -10896), (-172, 457, 0)]
[(-12977, -1724, -10896), (-172, 457, 0)]
[(-12967, -1700, -10880), (-132, 421, -2)]
[(-12967, -1700, -10880), (-132, 421, -2)]
[(-12967, -1700, -10880), (-132, 421, -2)]
[(-12967, -1700, -10880), (-132, 421, -2)]
[(-12967, -1700, -10880), (-132, 421, -2)]
[(-12967, -1700, -10880), (-132, 421, -2)]
[(-12967, -1700, -10880), (-132, 421, -2)]
[(-12948, -1719, -10908), (-113, 410, -27)]
[(-12948, -1719, -10908), (-113, 410, -27)]
[(-12948, -1719, -10908), (-113, 410, -27)]
[(-12948, -1719, -10908), (-113, 410, -27)]
[(-12948, -1719, -10908), (-113, 410, -27)]
[(-12967, -1707, -10944), (-93, 369, -47)]
[(-12967, -1707, -10944), (-93, 369, -47)]
[(-12967, -1707, -10944), (-93, 369, -47)]
[(-12967, -1707, -10944), (-93, 369, -47)]
[(-12967, -1707, -10944), (-93, 369, -47)]
[(-12980, -1726, -10945), (-107, 337, -75)]
[(-12980, -1726, -10945), (-107, 337, -75)]
[(-12980, -1726, -10945), (-107, 337, -75)]
[(-12980, -1726, -10945), (-107, 337, -75)]
[(-12980, -1726, -10945), (-107, 337, -75)]
[(-12980, -1726, -10945), (-107, 337, -75)]
[(-12980, -1726, -10945), (-107, 337, -75)]
[(-12980, -1726, -10945), (-107, 337, -75)]
[(-12954, -1717, -10915), (-109, 409, -28)]
[(-12954, -1717, -10915), (-109, 409, -28)]
[(-12954, -1717, -10915), (-109, 409, -28)]
[(-12954, -1717, -10915), (-109, 409, -28)]
[(-12954, -1717, -10915), (-109, 409, -28)]
[(-12963, -1710, -10935), (-90, 414, -17)]
[(-12963, -1710, -10935), (-90, 414, -17)]
[(-12963, -1710, -10935), (-90, 414, -17)]
[(-12963, -1710, -10935), (-90, 414, -17)]
