[(-12990, -1757, -10836), (-17, 383, -79)]
[(-12990, -1757, -10836), (-17, 383, -79)]
[(-12990, -1757, -10836), (-17, 383, -79)]
[(-12990, -1757, -10836), (-17, 383, -79)]
[(-12992, -1789, -10838), (-42, 382, -79)]
[(-12992, -1789, -10838), (-42, 382, -79)]
[(-12992, -1789, -10838), (-42, 382, -79)]
[(-12992, -1789, -10838), (-42, 382, -79)]
[(-12992, -1789, -10838), (-42, 382, -79)]
[(-12992, -1789, -10838), (-42, 382, -79)]
[(-12992, -1789, -10838), (-42, 382, -79)]
[(-12960, -1826, -10820), (-39, 412, -46)]
[(-12960, -1826, -10820), (-39, 412, -46)]
[(-12960, -1826, -10820), (-39, 412, -46)]
[(-12960, -1826, -10820), (-39, 412, -46)]
[(-12960, -1826, -10820), (-39, 412, -46)]
[(-12960, -1826, -10820), (-39, 412, -46)]
[(-12960, -1826, -10820), (-39, 412, -46)]
[(-12981, -1837, -10814), (-15, 419, -41)]
[(-12981, -1837, -10814), (-15, 419, -41)]
[(-12981, -1837, -10814), (-15, 419, -41)]
[(-12981, -1837, -10814), (-15, 419, -41)]
[(-12962, -1856, -10822), (-58, 410, -33)]
[(-12962, -1856, -10822), (-58, 410, -33)]
