[(-15042, 2614, -5957), (-55, 253, 89)]
[(-15032, 2614, -5968), (-121, 238, 65)]
[(-15032, 2614, -5968), (-121, 238, 65)]
[(-15032, 2614, -5968), (-121, 238, 65)]
[(-15032, 2614, -5968), (-121, 238, 65)]
[(-15043, 2614, -5936), (-103, 236, 28)]
[(-15043, 2614, -5936), (-103, 236, 28)]
[(-15043, 2614, -5936), (-103, 236, 28)]
[(-15043, 2614, -5936), (-103, 236, 28)]
[(-15043, 2614, -5936), (-103, 236, 28)]
[(-15043, 2614, -5936), (-103, 236, 28)]
[(-15043, 2614, -5936), (-103, 236, 28)]
[(-15055, 2622, -5940), (-89, 240, 28)]
[(-15055, 2622, -5940), (-89, 240, 28)]
[(-15055, 2622, -5940), (-89, 240, 28)]
[(-15055, 2622, -5940), (-89, 240, 28)]
[(-15055, 2622, -5940), (-89, 240, 28)]
[(-15055, 2622, -5940), (-89, 240, 28)]
[(-15070, 2600, -5920), (-109, 253, 37)]
[(-15070, 2600, -5920), (-109, 253, 37)]
[(-15070, 2600, -5920), (-109, 253, 37)]
[(-15070, 2600, -5920), (-109, 253, 37)]
[(-15070, 2600, -5920), (-109, 253, 37)]
[(-15080, 2600, -5946), (-109, 271, 20)]
[(-15080, 2600, -5946), (-109, 271, 20)]
[(-15080, 2600, -5946), (-109, 271, 20)]
[(-15080, 2600, -5946), (-109, 271, 20)]
[(-15080, 2600, -5946), (-109, 271, 20)]
[(-15080, 2600, -5946), (-109, 271, 20)]
[(-15080, 2600, -5946), (-109, 271, 20)]
[(-15075, 2588, -5949), (-114, 233, -30)]
[(-15075, 2588, -5949), (-114, 233, -30)]
[(-15075, 2588, -5949), (-114, 233, -30)]
[(-15075, 2588, -5949), (-114, 233, -30)]
[(-15075, 2588, -5949), (-114, 233, -30)]
[(-15075, 2588, -5949), (-114, 233, -30)]
[(-15077, 2574, -5950), (-58, 185, -122)]
[(-15077, 2574, -5950), (-58, 185, -122)]
[(-15077, 2574, -5950), (-58, 185, -122)]
[(-15077, 2574, -5950), (-58, 185, -122)]
[(-15077, 2574, -5950), (-58, 185, -122)]
[(-15081, 2588, -5902), (-122, 158, -80)]
[(-15081, 2588, -5902), (-122, 158, -80)]
[(-15081, 2588, -5902), (-122, 158, -80)]
[(-15081, 2588, -5902), (-122, 158, -80)]
[(-15081, 2588, -5902), (-122, 158, -80)]
[(-15081, 2588, -5902), (-122, 158, -80)]
[(-15081, 2588, -5902), (-122, 158, -80)]
[(-15102, 2592, -5898), (-229, 136, -70)]
[(-15102, 2592, -5898), (-229, 136, -70)]
[(-15102, 2592, -5898), (-229, 136, -70)]
[(-15102, 2592, -5898), (-229, 136, -70)]
