[(-13873, 7444, -4220), (-46, 226, 26)]
[(-13882, 7448, -4213), (-48, 264, 0)]
[(-13882, 7448, -4213), (-48, 264, 0)]
[(-13882, 7448, -4213), (-48, 264, 0)]
[(-13882, 7448, -4213), (-48, 264, 0)]
[(-13882, 7448, -4213), (-48, 264, 0)]
[(-13882, 7448, -4213), (-48, 264, 0)]
[(-13882, 7448, -4213), (-48, 264, 0)]
[(-13882, 7448, -4213), (-48, 264, 0)]
[(-13869, 7448, -4227), (-59, 284, -9)]
[(-13869, 7448, -4227), (-59, 284, -9)]
[(-13869, 7448, -4227), (-59, 284, -9)]
[(-13869, 7448, -4227), (-59, 284, -9)]
[(-13869, 7448, -4227), (-59, 284, -9)]
[(-13868, 7440, -4212), (36, 232, -7)]
[(-13868, 7440, -4212), (36, 232, -7)]
[(-13868, 7440, -4212), (36, 232, -7)]
[(-13868, 7440, -4212), (36, 232, -7)]
[(-13868, 7440, -4212), (36, 232, -7)]
[(-13868, 7440, -4212), (36, 232, -7)]
[(-13876, 7440, -4208), (1, 253, -11)]
[(-13876, 7440, -4208), (1, 253, -11)]
[(-13876, 7440, -4208), (1, 253, -11)]
[(-13876, 7440, -4208), (1, 253, -11)]
[(-13876, 7440, -4208), (1, 253, -11)]
[(-13876, 7440, -4208), (1, 253, -11)]
[(-13876, 7440, -4208), (1, 253, -11)]
[(-13876, 7424, -4256), (-366, 110, -55)]
[(-13876, 7424, -4256), (-366, 110, -55)]
[(-13876, 7424, -4256), (-366, 110, -55)]
[(-13876, 7424, -4256), (-366, 110, -55)]
[(-13876, 7424, -4256), (-366, 110, -55)]
[(-13890, 7414, -4217), (-213, 282, -83)]
[(-13890, 7414, -4217), (-213, 282, -83)]
[(-13890, 7414, -4217), (-213, 282, -83)]
[(-13890, 7414, -4217), (-213, 282, -83)]
[(-13890, 7414, -4217), (-213, 282, -83)]
[(-13890, 7414, -4217), (-213, 282, -83)]
[(-13780, 7530, -4269), (-82, 283, -73)]
[(-13780, 7530, -4269), (-82, 283, -73)]
[(-13780, 7530, -4269), (-82, 283, -73)]
[(-13780, 7530, -4269), (-82, 283, -73)]
[(-13780, 7530, -4269), (-82, 283, -73)]
[(-13780, 7530, -4269), (-82, 283, -73)]
[(-13780, 7530, -4269), (-82, 283, -73)]
[(-13818, 7494, -4327), (-49, 386, 26)]
[(-13818, 7494, -4327), (-49, 386, 26)]
[(-13818, 7494, -4327), (-49, 386, 26)]
[(-13818, 7494, -4327), (-49, 386, 26)]
[(-13818, 7494, -4327), (-49, 386, 26)]
[(-13816, 7480, -4305), (-15, 356, -13)]
[(-13816, 7480, -4305), (-15, 356, -13)]
[(-13816, 7480, -4305), (-15, 356, -13)]
[(-13816, 7480, -4305), (-15, 356, -13)]
[(-13816, 7480, -4305), (-15, 356, -13)]
[(-13816, 7480, -4305), (-15, 356, -13)]
[(-13864, 7475, -4304), (222, 122, 17)]
[(-13864, 7475, -4304), (222, 122, 17)]
[(-13864, 7475, -4304), (222, 122, 17)]
[(-13864, 7475, -4304), (222, 122, 17)]
[(-13864, 7475, -4304), (222, 122, 17)]
[(-13864, 7475, -4304), (222, 122, 17)]
[(-13864, 7475, -4304), (222, 122, 17)]
[(-13889, 7460, -4241), (268, -51, 64)]
[(-13889, 7460, -4241), (268, -51, 64)]
[(-13889, 7460, -4241), (268, -51, 64)]
[(-13889, 7460, -4241), (268, -51, 64)]
[(-13889, 7460, -4241), (268, -51, 64)]
[(-13908, 7424, -4180), (205, 17, 113)]
[(-13908, 7424, -4180), (205, 17, 113)]
[(-13908, 7424, -4180), (205, 17, 113)]
[(-13908, 7424, -4180), (205, 17, 113)]
[(-13913, 7392, -4162), (162, 188, 108)]
[(-13913, 7392, -4162), (162, 188, 108)]
[(-13913, 7392, -4162), (162, 188, 108)]
[(-13913, 7392, -4162), (162, 188, 108)]
[(-13913, 7392, -4162), (162, 188, 108)]
[(-13913, 7392, -4162), (162, 188, 108)]
[(-13913, 7392, -4162), (162, 188, 108)]
[(-13913, 7392, -4162), (162, 188, 108)]
[(-13909, 7420, -4164), (77, 334, 76)]
[(-13909, 7420, -4164), (77, 334, 76)]
[(-13909, 7420, -4164), (77, 334, 76)]
[(-13909, 7420, -4164), (77, 334, 76)]
[(-13909, 7420, -4164), (77, 334, 76)]
[(-13909, 7420, -4164), (77, 334, 76)]
[(-13909, 7420, -4164), (77, 334, 76)]
[(-13923, 7412, -4172), (33, 314, 50)]
[(-13923, 7412, -4172), (33, 314, 50)]
[(-13923, 7412, -4172), (33, 314, 50)]
[(-13923, 7412, -4172), (33, 314, 50)]
[(-13944, 7386, -4172), (1, 195, 35)]
[(-13944, 7386, -4172), (1, 195, 35)]
[(-13944, 7386, -4172), (1, 195, 35)]
[(-13944, 7386, -4172), (1, 195, 35)]
